Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group          ,Breakeven Price
ACB   ,14000     ,20500     ,22250     ,23150     ,A              ,23150
BAB   ,8510      ,13350     ,14800     ,15500     ,C              ,13350
BID   ,21100     ,29050     ,31150     ,32200     ,A              ,32200
NVB   ,10950     ,16900     ,18650     ,19500     ,C              ,16900
CTG   ,12150     ,18750     ,20600     ,21550     ,B              ,20600
SHB   ,6910      ,11750     ,13100     ,13900     ,C              ,11750
EIB   ,6770      ,12250     ,13900     ,14750     ,C              ,12250
AAV   ,8650      ,13500     ,15150     ,16050     ,B              ,15150
HDB   ,11900     ,18050     ,19750     ,20650     ,C              ,18050
ACM   ,540       ,1230      ,1450      ,1600      ,D              ,540
LPB   ,5290      ,9600      ,10950     ,11650     ,C              ,9600
ADC   ,1340      ,4680      ,6100      ,6930      ,B              ,6100
MBB   ,9720      ,15550     ,17200     ,18100     ,A              ,18100
ALT   ,1700      ,4670      ,5830      ,6490      ,B              ,5830
MSB   ,9880      ,14950     ,16250     ,17050     ,A              ,17050
AMC   ,5850      ,11800     ,13550     ,14500     ,B              ,13550
OCB   ,10650     ,16200     ,17600     ,18500     ,A              ,18500
AME   ,3380      ,5620      ,6360      ,6760      ,C              ,5620
SSB   ,18950     ,26600     ,28800     ,29900     ,C              ,26600
AMV   ,4600      ,7500      ,8320      ,8750      ,A              ,8750
STB   ,7020      ,12800     ,14600     ,15550     ,C              ,12800
API   ,10600     ,25550     ,30950     ,33950     ,C              ,25550
TCB   ,24600     ,34350     ,36900     ,38200     ,A              ,38200
APP   ,730       ,2470      ,3150      ,3550      ,B              ,3150
TPB   ,24400     ,35050     ,37650     ,39150     ,A              ,39150
ARM   ,19600     ,29350     ,32050     ,33450     ,C              ,29350
VCB   ,49400     ,68300     ,72700     ,74900     ,A              ,74900
ASG   ,15650     ,20350     ,21500     ,22150     ,B              ,21500
VIB   ,15400     ,24200     ,26650     ,28000     ,C              ,24200
ATS   ,20800     ,25750     ,26900     ,27600     ,B              ,26900
VPB   ,8330      ,15750     ,18050     ,19300     ,A              ,19300
BAX   ,31650     ,44600     ,48450     ,50500     ,A              ,50500
AAA   ,6450      ,10050     ,11000     ,11500     ,B              ,11000
BBS   ,4560      ,6950      ,7810      ,8270      ,D              ,4560
AAM   ,2660      ,5210      ,6010      ,6440      ,B              ,6010
BCC   ,3910      ,9100      ,10900     ,11850     ,B              ,10900
AAT   ,7240      ,11150     ,12250     ,12900     ,A              ,12900
BCF   ,16950     ,24400     ,26400     ,27400     ,A              ,27400
ABS   ,5890      ,11200     ,12700     ,13500     ,B              ,12700
BDB   ,3300      ,6170      ,6990      ,7410      ,B              ,6990
ABT   ,16100     ,23450     ,25300     ,26250     ,B              ,25300
BED   ,20250     ,28850     ,31400     ,32650     ,A              ,32650
ACC   ,13300     ,17700     ,19050     ,19700     ,C              ,17700
BII   ,2800      ,6020      ,7040      ,7670      ,A              ,7670
ACL   ,7170      ,10500     ,11350     ,11850     ,B              ,11350
BKC   ,980       ,2440      ,2960      ,3250      ,D              ,980
ADG   ,23750     ,32350     ,34550     ,35700     ,B              ,34550
BLF   ,2580      ,3710      ,4000      ,4170      ,D              ,2580
ADS   ,15800     ,22700     ,24700     ,25650     ,C              ,22700
BNA   ,18200     ,27500     ,30200     ,31550     ,B              ,30200
AGG   ,24800     ,32250     ,34000     ,35100     ,B              ,34000
BPC   ,4360      ,7600      ,8540      ,9080      ,B              ,8540
BSC   ,8060      ,11250     ,12050     ,12500     ,Not enough data,8060
AGM   ,5360      ,12550     ,15000     ,16350     ,B              ,15000
BST   ,4490      ,9190      ,10550     ,11350     ,B              ,10550
AMD   ,1070      ,2400      ,2850      ,3100      ,B              ,2850
BTS   ,1720      ,3930      ,4710      ,5170      ,B              ,4710
ANV   ,6910      ,13750     ,15900     ,17050     ,C              ,13750
BTW   ,8580      ,15400     ,17500     ,18600     ,A              ,18600
APC   ,6920      ,11850     ,13350     ,14200     ,B              ,13350
BXH   ,7840      ,10450     ,11050     ,11450     ,B              ,11050
APH   ,9310      ,15850     ,17700     ,18750     ,B              ,17700
C69   ,3410      ,7020      ,8170      ,8840      ,Not enough data,3410
ASM   ,4200      ,7970      ,9240      ,10050     ,B              ,9240
C92   ,820       ,2120      ,2600      ,2860      ,C              ,2120
ASP   ,3570      ,6050      ,6820      ,7260      ,C              ,6050
CAG   ,3130      ,7040      ,8340      ,9120      ,A              ,9120
AST   ,28200     ,36800     ,38950     ,40100     ,C              ,36800
CAN   ,14250     ,27600     ,31700     ,33900     ,B              ,31700
BBC   ,19200     ,33200     ,37250     ,39300     ,B              ,37250
CAP   ,58900     ,69300     ,72700     ,74500     ,B              ,72700
BCE   ,4500      ,7890      ,9060      ,9700      ,B              ,9060
CDN   ,11000     ,16200     ,18000     ,18950     ,Not enough data,11000
BCG   ,8690      ,14200     ,15800     ,16700     ,B              ,15800
CEO   ,4940      ,10750     ,13300     ,14750     ,D              ,4940
BCM   ,24750     ,33850     ,36750     ,38200     ,B              ,36750
CET   ,860       ,2350      ,2920      ,3230      ,B              ,2920
BFC   ,8020      ,15150     ,17350     ,18500     ,B              ,17350
CIA   ,4990      ,7770      ,8550      ,8960      ,Not enough data,4990
