Ticker,Group          ,Breakeven Price,1% at Risk        ,3% at Risk        ,5% at Risk        ,Proposed Price
ACB   ,C              ,14150          ,20524.88          ,22162.41          ,23153.800000000003,20500
BID   ,A              ,18750          ,25770.62          ,27632.0           ,28569.0           ,28550
NVB   ,C              ,15000          ,22125.28          ,24149.16          ,25261.0           ,22150
CTG   ,A              ,12400          ,18858.8           ,20637.48          ,21564.8           ,21550
SHB   ,C              ,9390           ,15311.7           ,16939.0           ,17786.4           ,15300
EIB   ,C              ,11900          ,16625.0           ,18042.0           ,18712.4           ,16600
AAV   ,B              ,9900           ,15085.84          ,16803.88          ,17766.9           ,16800
HDB   ,C              ,7690           ,12838.9           ,14331.0           ,15115.0           ,12850
ABT   ,B              ,11250          ,16410.25          ,17679.5           ,18386.0           ,17700
LPB   ,C              ,10300          ,14957.07          ,16310.23          ,17029.0           ,14950
ACM   ,Not enough data,400            ,1124.0            ,1386.0            ,1527.0            ,Not enough data
MBB   ,A              ,9830           ,15724.0           ,17295.079999999998,18246.0           ,18250
MSB   ,A              ,13350          ,19343.74          ,20782.46          ,21576.3           ,21600
ADC   ,A              ,4280           ,9572.48           ,11259.72          ,12374.6           ,12350
OCB   ,B              ,8230           ,12912.85          ,14192.7           ,14918.75          ,14200
CAG   ,B              ,5210           ,10949.22          ,12657.33          ,13641.1           ,12650
SSB   ,C              ,15950          ,23304.84          ,25203.08          ,26447.2           ,23300
ALT   ,B              ,3130           ,6195.36           ,7091.0            ,7563.0            ,7090
STB   ,C              ,6580           ,12055.0           ,13764.31          ,14670.0           ,12050
AMC   ,Not enough data,8140           ,12427.0           ,13993.91          ,14821.95          ,Not enough data
TCB   ,A              ,25150          ,34287.04          ,36754.37          ,38081.6           ,38100
AME   ,Not enough data,2480           ,4261.5            ,4804.5            ,5127.0            ,Not enough data
TPB   ,C              ,16400          ,23746.52          ,25594.76          ,26745.6           ,23750
AMV   ,B              ,4640           ,7058.54           ,7734.24           ,8078.0            ,7730
VCB   ,A              ,52500          ,70106.08          ,74349.77          ,76535.55          ,76500
API   ,B              ,8870           ,15192.62          ,17178.05          ,18203.35          ,17200
