Ticker  ,0% at Risk,1% at Risk        ,3% at Risk        ,5% at Risk        ,Group          ,Breakeven Price
ACB     ,14122.0   ,20627.66          ,22338.99          ,23304.3           ,A              ,23300
NVB     ,11479.0   ,17612.0           ,19432.5           ,20306.5           ,C              ,17600
BID     ,21111.0   ,28775.82          ,30781.46          ,31795.1           ,A              ,31800
CTG     ,12197.0   ,18637.05          ,20430.86          ,21358.2           ,B              ,20450
SHB     ,7249.0    ,12220.48          ,13645.32          ,14441.0           ,C              ,12200
EIB     ,12481.0   ,17746.03          ,19350.0           ,20131.15          ,C              ,17750
AAV     ,12294.0   ,17957.61          ,19885.46          ,21000.7           ,B              ,19900
HDB     ,9964.0    ,15540.34          ,17119.01          ,17930.35          ,C              ,15550
ACM     ,487.0     ,1228.0            ,1482.0            ,1622.3            ,D              ,490
LPB     ,9340.0    ,14253.4           ,15577.88          ,16222.0           ,C              ,14250
MBB     ,10224.0   ,16130.94          ,17715.41          ,18650.0           ,A              ,18650
ADC     ,1004.0    ,3854.14           ,5167.84           ,5948.0            ,B              ,5170
MSB     ,9607.0    ,14475.58          ,15727.0           ,16482.45          ,A              ,16500
ALT     ,1810.0    ,4911.61           ,6106.0            ,6779.05           ,B              ,6110
OCB     ,10720.0   ,16177.76          ,17612.0           ,18499.2           ,A              ,18500
AMC     ,6405.0    ,12519.0           ,14321.66          ,15317.7           ,B              ,14300
SSB     ,17494.0   ,24758.92          ,26882.79          ,27932.7           ,C              ,24750
AME     ,3543.0    ,5685.01           ,6407.0            ,6801.35           ,C              ,5690
STB     ,7072.0    ,12745.22          ,14495.66          ,15420.7           ,C              ,12750
AMV     ,4499.0    ,7078.16           ,7803.0            ,8180.0            ,A              ,8180
TCB     ,27483.0   ,37063.8           ,39526.4           ,40944.0           ,A              ,40950
API     ,12575.0   ,29889.45          ,36107.88          ,39546.700000000004,C              ,29900
TPB     ,19738.0   ,28220.91          ,30387.73          ,31701.55          ,A              ,31700
APP     ,882.0     ,2946.66           ,3756.99           ,4242.65           ,B              ,3760
VCB     ,50936.0   ,68717.0           ,72930.41          ,75067.0           ,A              ,75100
ARM     ,17461.0   ,26320.7           ,29157.95          ,30707.5           ,C              ,26300
VIB     ,12603.0   ,20456.14          ,22690.71          ,23892.7           ,C              ,20450
ASG     ,15836.0   ,20887.0           ,22197.77          ,22850.95          ,B              ,22200
VPB     ,8973.0    ,16691.88          ,19059.76          ,20401.2           ,A              ,20400
ATS     ,20784.0   ,25773.0           ,26915.09          ,27605.15          ,B              ,26900
AAA     ,7589.0    ,11324.02          ,12308.03          ,12867.05          ,B              ,12300
BAX     ,34542.0   ,47733.1           ,51824.06          ,54055.15          ,A              ,54100
AAM     ,5444.0    ,8053.0            ,8822.63           ,9252.05           ,B              ,8820
BBS     ,3763.0    ,6632.25           ,7452.0            ,7880.0            ,D              ,3760
AAT     ,8438.0    ,12952.6           ,14269.4           ,14914.0           ,A              ,14900
BCC     ,10499.0   ,15844.72          ,17581.64          ,18568.2           ,B              ,17600
ABS     ,8410.0    ,13781.0           ,15516.0           ,16444.7           ,B              ,15500
BCF     ,17505.0   ,25091.4           ,27068.239999999998,28178.7           ,A              ,28200
ABT     ,16233.0   ,23691.68          ,25515.26          ,26485.1           ,B              ,25500
BDB     ,4081.0    ,7077.0            ,7885.0            ,8320.9            ,B              ,7880
ACC     ,8061.0    ,12794.1           ,14116.0           ,14806.0           ,C              ,12800
BED     ,20265.0   ,28862.94          ,31413.96          ,32654.75          ,A              ,32650
ACL     ,8274.0    ,11739.5           ,12605.0           ,13117.0           ,B              ,12600
BII     ,3330.0    ,6619.46           ,7938.22           ,8583.0            ,A              ,8580
ADG     ,22262.0   ,30100.32          ,32105.99          ,33122.0           ,B              ,32100
ADS     ,13883.0   ,19900.12          ,21732.0           ,22495.9           ,C              ,19900
BKC     ,1801.0    ,3806.38           ,4425.0            ,4754.3            ,D              ,1800
AGG     ,28095.0   ,35789.91          ,37765.46          ,38811.55          ,B              ,37750
BLF     ,1762.0    ,2538.0            ,2747.0            ,2852.0            ,D              ,1760
BNA     ,20411.0   ,30107.52          ,33078.92          ,34394.2           ,B              ,33100
AGM     ,5275.0    ,12360.04          ,14738.28          ,16080.0           ,B              ,14750
BPC     ,3702.0    ,6286.62           ,7038.86           ,7436.0            ,B              ,7040
AMD     ,813.0     ,2075.95           ,2507.0            ,2753.75           ,B              ,2510
BSC     ,8107.0    ,10974.17          ,11679.51          ,12089.85          ,Not enough data,8110
BST     ,4405.0    ,8514.0            ,9735.5            ,10353.0           ,B              ,9740
ANV     ,8122.0    ,15869.54          ,18370.81          ,19712.0           ,C              ,15850
BTS     ,1966.0    ,4445.25           ,5337.75           ,5878.0            ,B              ,5340
APC     ,13067.0   ,18139.7           ,19740.0           ,20561.0           ,B              ,19750
BTW     ,8900.0    ,16410.55          ,18504.0           ,19679.0           ,A              ,19700
APH     ,12546.0   ,21029.02          ,23454.0           ,24758.0           ,B              ,23450
BXH     ,7790.0    ,8663.0            ,8861.0            ,8962.0            ,B              ,8860
ASM     ,4394.0    ,8220.4            ,9494.0            ,10290.0           ,B              ,9490
C69     ,3451.0    ,7057.9            ,8195.0            ,8866.0            ,Not enough data,3450
ASP     ,7042.0    ,9692.84           ,10537.0           ,10974.15          ,C              ,9690
AST     ,29767.0   ,38390.6           ,40586.76          ,41738.3           ,C              ,38400
C92     ,1034.0    ,2312.74           ,2841.2200000000003,3138.0            ,C              ,2310
CAG     ,3164.0    ,7521.0            ,8820.0            ,9566.45           ,A              ,9570
CAN     ,10435.0   ,20797.15          ,23990.45          ,25843.05          ,B              ,24000
BBC     ,22847.0   ,34097.99          ,38215.94          ,40320.95          ,B              ,38200
CAP     ,54399.0   ,64219.7           ,67402.4           ,68801.5           ,B              ,67400
BCE     ,4586.0    ,9134.6            ,10594.8           ,11361.0           ,B              ,10600
CDN     ,11796.0   ,17345.69          ,19233.760000000002,20241.75          ,Not enough data,11800
CEO     ,5511.0    ,10174.0           ,11497.02          ,12266.050000000001,D              ,5510
BCG     ,6172.0    ,11653.68          ,13389.04          ,14314.4           ,B              ,13400
CET     ,2032.0    ,4173.76           ,4804.0            ,5225.0            ,B              ,4800
BCM     ,25328.0   ,35330.45          ,38137.01          ,39547.9           ,B              ,38150
CIA     ,5823.0    ,8876.0            ,9715.71           ,10159.0           ,Not enough data,5820
CJC     ,4994.0    ,7880.0            ,8681.0            ,9106.0            ,D              ,4990
BFC     ,9186.0    ,16671.0           ,18989.1           ,20217.5           ,B              ,19000
BHN     ,27594.0   ,38053.36          ,41204.0           ,42841.4           ,A              ,42850
CKV     ,5168.0    ,7938.0            ,8712.68           ,9111.0            ,A              ,9110
BKG     ,4902.0    ,7010.0            ,7715.0            ,8087.0            ,B              ,7720
CLH     ,18285.0   ,23300.56          ,24627.68          ,25241.0           ,A              ,25250
BMC     ,10441.0   ,15486.98          ,17277.47          ,18329.6           ,A              ,18350
CLM     ,6934.0    ,13575.0           ,15487.0           ,16545.5           ,B              ,15500
BMP     ,35693.0   ,46013.16          ,48382.85          ,49592.0           ,A              ,49600
BRC     ,9469.0    ,12874.61          ,13916.61          ,14421.35          ,B              ,13900
CMC     ,4331.0    ,7318.64           ,8404.0            ,9083.0            ,C              ,7320
BTP     ,8523.0    ,11900.62          ,12781.619999999999,13256.0           ,B              ,12800
CMS     ,1211.0    ,3543.04           ,4403.0            ,4905.1            ,C              ,3540
BTT     ,21620.0   ,30118.11          ,32330.38          ,33469.55          ,A              ,33450
CPC     ,11437.0   ,16023.88          ,17658.82          ,18589.7           ,B              ,17650
BWE     ,23231.0   ,31414.68          ,33585.0           ,34735.8           ,C              ,31400
CSC     ,66517.0   ,95281.92          ,102771.24         ,107166.6          ,C              ,95300
C32     ,18809.0   ,24679.79          ,26438.0           ,27344.95          ,B              ,26450
CTB     ,11929.0   ,16839.0           ,18168.2           ,18911.0           ,C              ,16850
C47     ,8609.0    ,12310.8           ,13360.85          ,13924.0           ,C              ,12300
CAV     ,31145.0   ,40797.16          ,43217.24          ,44452.0           ,B              ,43200
CTC     ,979.0     ,2362.98           ,2885.9700000000003,3230.0            ,C              ,2360
