Ticker,Group,BreakFeven Price,1% at Risk,3% at Risk,5% at Risk,Proposed Price
BAB,C,8620,13364.15,14804.0,15528.0,13350
ACB,A,14000,20391.4,22022.0,23008.25,23000
BID,A,18750,25831.0,27694.0,28647.0,28650
NVB,C,11750,18022.78,19893.0,20787.9,18000
CTG,B,11100,17117.5,18829.0,19709.25,18850
SHB,C,10550,17293.0,19133.44,20145.4,17300
EIB,C,10150,14442.86,15649.869999999999,16271.0,14450
AAV,B,11250,16886.81,18768.53,19827.0,18750
HDB,C,9080,14194.92,15643.0,16395.9,14200
ACM,D,460,1196.88,1460.0,1601.7,460
LPB,C,8850,13462.0,14757.58,15380.0,13450
MBB,A,10350,16280.76,17849.28,18833.0,18850
ADC,B,970,3682.62,5001.43,5804.0,5000
MSB,A,8480,12974.47,14188.869999999999,14873.050000000001,14850
ALT,B,3040,6219.47,7167.47,7679.0,7170
OCB,A,9460,14482.67,15807.01,16593.0,16600
AMC,B,5420,10500.3,11992.8,12793.0,12000
SSB,C,17050,24386.27,26382.06,27646.350000000002,24400
AME,C,2700,4507.0,5103.0,5424.2,4510
STB,C,6620,11923.85,13561.0,14425.0,11900
AMV,A,3600,5647.0,6229.82,6532.0,6530
TCB,A,27000,36645.37,39233.37,40674.45,40650
API,C,6640,15455.44,18584.58,20311.95,15450
TPB,A,18650,27006.33,29144.99,30450.0,30450
APP,B,970,3048.2799999999997,3882.0,4363.0,3880
VCB,A,49650,67470.68,71697.13,73845.55,73800
ARM,C,17800,27246.3,30051.34,31375.0,27250
VIB,C,11800,19272.82,21413.46,22529.0,19250
ASG,B,14250,18967.79,20170.0,20830.0,20150
VPB,A,8980,16718.91,19067.73,20440.2,20450
ATS,B,20800,25773.0,26915.09,27605.15,26900
AAA,B,6510,9830.1,10709.0,11164.0,10700
BAX,A,32500,46807.6,51248.36,53246.8,53200
AAM,B,2190,4216.0,4900.0,5331.0,4900
BBS,D,3670,5662.44,6343.32,6713.200000000001,3670
AAT,A,10400,15232.47,16579.99,17338.95,17350
BCC,B,8340,13375.23,14866.0,15612.0,14850
ABS,B,5170,9271.36,10533.08,11200.0,10550
BCF,A,16300,23932.38,25959.48,27056.9,27050
ABT,B,14550,21466.15,23176.15,24061.25,23200
BDB,B,6690,9934.0,10928.91,11402.85,10950
ACC,C,6100,9714.0,10752.0,11290.65,9710
BED,A,20250,28862.94,31413.96,32654.75,32650
ACL,B,5630,8104.36,8776.0,9120.0,8780
BII,A,3030,6244.4,7450.26,8115.3,8120
ADG,B,21900,29538.48,31502.0,32512.7,31500
BKC,D,930,2372.0,2908.0,3208.7000000000003,930
ADS,C,21500,27761.39,29473.35,30493.9,27750
BLF,D,1530,2084.0,2264.43,2358.0,1530
AGG,B,24950,31841.68,33484.78,34474.3,33500
BNA,B,18600,27965.6,30713.4,32025.0,30700
AGM,B,5220,12088.62,14387.0,15680.1,14400
BPC,B,3790,6467.68,7246.0,7662.0,7250
BSC,Not enough data,7650,10298.0,10963.06,11330.55,Not enough data
AMD,B,540,1469.5,1789.0,1967.0,1790
BST,B,4420,7170.26,8186.389999999999,8761.95,8190
ANV,C,11350,17810.31,19514.93,20541.1,17800
BTS,B,1710,3883.92,4640.0,5090.0,4640
APC,B,9980,13738.4,14968.0,15598.0,14950
BTW,A,9650,17436.58,19711.02,20922.9,20900
APH,B,11600,19485.11,21742.0,22942.55,21750
BXH,B,6190,7681.0,8035.0,8226.0,8040
C69,Not enough data,2360,5072.48,5998.0,6502.4,Not enough data
ASM,B,3420,6494.84,7528.52,8174.0,7530
C92,C,830,1919.5900000000001,2300.0,2530.0,1920
ASP,C,6710,9364.77,10195.619999999999,10641.0,9360
CAG,A,3250,7497.32,8780.96,9525.0,9520
AST,C,31100,40383.84,42855.0,44208.6,40400
CAN,B,6680,14051.72,16250.32,17489.0,16250
BBC,B,21700,32569.65,36329.26,38473.1,36350
BCE,B,6520,9492.02,10313.03,10768.05,10300
CAP,B,53900,63082.2,66413.88,67840.2,66400
CEO,D,2870,5284.98,5953.9400000000005,6323.0,2870
BCG,B,7910,12223.23,13449.01,14141.0,13450
CET,B,600,1584.93,1954.0,2175.0,1950
BCM,B,21400,29727.98,32045.94,33226.9,32050
CIA,Not enough data,5850,8977.7,9798.01,10287.35,Not enough data
CJC,D,6050,9152.36,9998.0,10436.8,6050
BFC,B,9850,16670.8,18927.3,20159.0,18950
CKV,A,5300,8115.5,8895.5,9308.0,9310
BHN,A,27800,38393.8,41573.88,43259.6,43250
CLH,A,16700,20965.920000000002,22074.68,22598.0,22600
BKG,B,3820,5510.4,6063.6,6355.0,6060
CLM,B,8940,16264.56,18351.0,19523.8,18350
CMC,C,1270,2636.0,3038.0,3250.0,2640
BMC,A,4190,9521.9,11340.35,12337.0,12350
BMP,A,30500,38018.93,40067.97,41145.0,41150
CMS,C,470,1288.0,1593.55,1764.0,1290
BRC,B,7160,10029.66,10735.98,11170.0,10750
BTP,B,8050,11065.0,11845.0,12249.0,11850
CPC,B,9010,12899.22,14162.76,14851.0,14150
CSC,C,37350,55198.62,60297.74,63090.9,55200
BTT,A,25050,34077.14,36306.71,37602.7,37600
BWE,C,21850,29702.72,31678.739999999998,32842.65,29700
CTB,C,12450,17201.11,18600.33,19348.55,17200
C32,B,15450,21373.11,22756.66,23502.0,22750
CTC,C,880,2105.0,2543.0,2808.0,2100
C47,C,5290,7845.58,8502.7,8900.9,7850
CTP,B,1530,2694.35,3083.05,3305.0,3080
CAV,B,32250,41989.04,44381.0,45721.8,44400
CTT,C,4830,7117.0,7820.0599999999995,8183.1,7120
CCI,A,7470,11678.0,13007.39,13728.0,13750
CTX,C,2080,3651.0,4125.0,4374.0,3650
CVN,A,3340,4862.0,5332.66,5592.0,5590
CCL,B,2350,5291.86,6291.0,6840.0,6290
CX8,C,2820,4076.0,4431.0,4622.0,4080
CDC,C,4210,6991.0,7781.0,8202.0,6990
D11,Not enough data,12550,18268.0,20330.44,21388.85,Not enough data
CEE,C,2500,5071.56,5886.12,6358.0,5070
DAD,A,8880,14193.22,15607.83,16506.05,16500
CHP,C,12750,15507.0,16188.35,16525.25,15500
DAE,A,8940,13699.84,15224.22,15955.1,15950
CIG,D,1890,3576.54,4064.54,4342.0,1890
DC2,C,1470,3972.42,4979.0,5553.0,3970
CII,C,8310,11630.68,12562.64,13072.4,11650
DDG,C,32400,36423.8,37440.8,37915.0,36400
CKG,C,11150,16807.28,18203.56,19037.4,16800
DHP,A,6750,8754.11,9229.0,9520.1,9520
CLC,A,16550,23271.0,24986.5,25843.5,25850
DHT,B,32150,37819.76,39153.64,39824.0,39150
CLL,A,16950,23045.64,24770.0,25679.0,25700
DIH,C,3920,10586.2,13105.0,14665.0,10600
CLW,A,10900,17679.36,19489.72,20435.8,20450
DL1,B,1090,2747.0,3370.0,3752.9,3370
CMG,B,30850,41929.95,44833.93,46375.0,44850
DNC,A,9820,21596.28,25141.0,27053.0,27050
CMV,A,3340,6350.09,7298.0,7803.0,7800
DNM,C,9430,16356.0,18395.0,19481.0,16350
DNP,C,6870,10910.0,12061.79,12661.0,10900
CMX,B,5240,7817.64,8583.0,9000.0,8580
DP3,A,53800,73626.2,79773.32,83144.6,83100
CNG,A,19300,25514.1,27446.52,28336.0,28350
DPC,A,2800,6480.48,7884.08,8710.6,8710
COM,A,7470,16027.25,19032.0,20835.0,20850
DS3,A,2340,3661.0,4091.0,4319.0,4320
CRC,D,2290,4640.62,5377.86,5778.1,2290
DST,B,850,1890.0,2207.0,2384.0,2210
CRE,A,6990,12903.7,14721.15,15698.75,15700
DTD,A,13000,21106.47,23407.26,24629.0,24650
CSM,C,8350,11632.04,12572.0,13029.3,11650
DVG,B,2620,5715.0,6755.63,7329.0,6760
CSV,A,21900,31126.28,34002.42,35545.8,35550
DXP,A,7190,11497.6,12661.6,13354.0,13350
CTD,A,32200,43958.0,47527.0,49348.0,49350
DZM,D,2330,3987.74,4574.0,4883.85,2330
CTF,B,12100,14997.08,15717.0,16079.0,15700
EBS,B,4820,6651.0,7117.38,7377.3,7120
CTI,C,6840,9905.86,10768.0,11228.0,9910
ECI,A,27550,35658.76,37605.12,38758.6,38750
CVT,B,15100,22582.23,24893.38,26026.3,24900
EID,A,12300,16640.4,17785.62,18358.7,18350
D2D,A,18850,29329.71,32216.13,33730.0,33750
FID,A,1020,2329.0,2742.17,2991.9,2990
DAG,D,2400,3632.48,3938.0,4104.0,2400
DAH,C,2110,4142.6,4737.4,5079.0,4140
GDW,A,4110,8845.57,10450.0,11318.85,11300
GIC,A,8580,12408.08,13737.24,14451.0,14450
DAT,B,4590,9103.99,10867.98,11848.0,10850
GKM,B,13100,18524.64,19979.69,20718.3,20000
DBC,B,21800,33802.74,36864.0,38492.0,36850
GLT,A,8740,16749.96,19004.32,20240.8,20250
DBD,A,28150,35204.24,36984.18,37953.15,37950
GMA,B,29100,41174.39,44124.15,45960.45,44100
DBT,C,6040,9148.82,10144.73,10694.55,9150
GMX,B,7630,12687.2,14047.2,14792.0,14050
DC4,B,5330,7905.47,8605.41,8962.0,8610
HAD,A,7820,10517.8,11415.1,11875.0,11900
DCL,C,14950,21899.68,23963.56,25075.6,21900
HAT,B,8170,11808.0,12790.0,13341.8,12800
DCM,A,7800,13905.0,15752.71,16797.0,16800
HCC,B,5680,7736.0,8270.0,8544.0,8270
DGC,A,83700,111740.96,121468.94,125550.9,125600
HCT,A,4250,6881.64,7857.92,8403.0,8400
DGW,A,20600,44277.99,51674.0,56599.55,56600
HDA,B,14150,18630.42,19816.38,20478.4,19800
DHA,A,25900,34118.74,36174.61,37267.0,37250
DHC,A,46450,63772.75,68462.75,70848.25,70800
HEV,B,3030,5672.0,6700.0,7272.0,6700
DHG,A,59100,73676.25,77243.5,79048.0,79000
HGM,A,13150,18760.44,20244.0,20997.1,21000
DHM,B,8220,10113.39,10589.0,10837.0,10600
HHC,D,14900,29096.49,33574.0,35991.05,14900
DIG,C,13050,20461.46,22452.57,23694.0,20450
HHG,C,820,1777.44,2085.0,2243.55,1780
DLG,D,830,1964.0,2349.0,2563.0,830
HJS,A,12000,18942.95,20780.34,21710.9,21700
DMC,A,32300,42678.33,45359.96,46699.65,46700
HKT,B,1520,2813.0,3154.85,3360.0,3150
DPG,B,20050,33886.1,37722.52,40187.5,37700
HLC,D,2540,5388.0,6507.0,7136.0,2540
HLD,B,17400,23445.56,25298.0,26255.2,25300
DPM,A,10350,18587.63,21202.89,22556.15,22550
HMH,A,6540,9843.15,10705.45,11236.25,11250
DPR,A,38700,51076.5,54304.5,56039.5,56000
HOM,C,3180,5129.0,5806.3,6149.5,5130
DQC,C,10400,14874.31,15999.93,16706.55,14850
HPM,B,6790,8451.99,8859.0,9065.0,8860
DRC,A,14900,21593.2,23409.5,24347.0,24350
HTC,A,13300,19217.78,20796.01,21607.0,21600
DRH,C,6880,11791.0,13121.24,13849.6,11800
HTP,C,1850,6292.1,8164.3,9242.5,6290
DRL,A,44200,53209.44,55267.0,56453.0,56500
HUT,C,3720,5751.0,6410.16,6797.8,5750
DSN,A,29400,34610.95,36186.55,36962.5,36950
HVT,B,20100,30986.15,34000.66,35670.05,34000
DTA,C,9570,13408.97,14523.99,15201.15,13400
ICG,C,2100,3930.0,4433.0,4715.0,3930
DTL,C,19800,25624.16,27794.32,28866.2,25600
IDC,C,19550,29320.84,32575.48,34474.8,29300
DTT,B,8360,10316.26,10884.89,11173.0,10900
IDJ,C,13500,20761.34,22925.0,23963.8,20750
DVP,A,29700,39823.4,42271.4,43704.0,43700
IDV,Not enough data,25400,37167.02,40284.02,41959.0,Not enough data
DXG,A,7910,12560.78,13828.0,14524.0,14500
INC,B,2460,4721.84,5354.0,5711.4,5350
DXS,A,10900,17498.0,19351.0,20293.85,20300
INN,B,20450,26558.16,28378.16,29306.6,28400
DXV,B,850,1746.0,2052.0,2233.0,2050
ITQ,B,720,1956.62,2451.0,2786.0,2450
ELC,B,14600,20531.2,22025.2,22991.0,22050
KDM,A,810,1950.4,2393.2,2658.0,2660
EMC,C,7250,11023.0,11943.0,12441.0,11000
KHS,B,6940,11100.7,12610.0,13443.75,12600
EVE,B,7700,11167.98,12232.97,12709.95,12250
EVG,A,3970,6495.04,7205.0,7638.0,7640
KKC,A,3000,7768.0,9559.0,10564.0,10550
FCM,B,3340,4741.0,5129.0,5349.5,5130
KLF,B,1290,2146.0,2485.0,2687.0,2480
FCN,C,4220,7184.1,8116.0,8691.55,7180
KMT,B,3190,5309.8,5889.0,6184.0,5890
FDC,B,2410,5268.7,6210.0,6725.0,6210
KSD,B,540,1270.0,1553.0,1717.0,1550
FIR,A,19200,26394.75,28233.65,29213.75,29200
KSQ,A,1280,2645.14,3056.0,3343.7,3340
FIT,A,3240,6040.89,6892.0,7332.0,7330
