Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
BAB,8500,13300,14800,15450,C,13300
ACB,13950,20450,22200,23100,A,23100
NVB,10900,16850,18650,19500,C,16850
BID,21000,28900,31000,32050,A,32050
SHB,6880,11700,13050,13850,C,11700
CTG,12100,18650,20500,21450,B,20500
AAV,8660,13550,15150,16050,B,15150
EIB,6650,12250,13900,14750,C,12250
ACM,520,1220,1450,1580,D,520
HDB,11900,18050,19750,20650,C,18050
ADC,1270,4630,6050,6860,B,6050
LPB,5280,9580,10900,11600,C,9580
ALT,1690,4660,5820,6470,B,5820
MBB,9660,15500,17150,18000,A,18000
AMC,5830,11750,13550,14500,B,13550
MSB,9880,14950,16250,17050,A,17050
OCB,10650,16200,17600,18500,A,18500
AME,3370,5620,6360,6760,C,5620
SSB,18950,26600,28800,29900,C,26600
AMV,4590,7490,8310,8740,A,8740
STB,7000,12750,14550,15500,C,12750
API,10650,25600,31000,33950,C,25600
TCB,24500,34200,36850,38150,A,38150
APP,710,2430,3110,3500,B,3110
TPB,24350,35000,37550,39100,A,39100
ARM,19550,29350,32000,33400,C,29350
VCB,49350,68200,72700,74900,A,74900
ASG,15750,20450,21600,22250,B,21600
VIB,15300,24100,26600,27950,C,24100
ATS,20750,25750,26900,27600,B,26900
VPB,8280,15700,18000,19250,A,19250
BAX,31500,44500,48350,50400,A,50400
AAA,6440,10050,10950,11450,B,10950
BBS,4550,6940,7800,8260,D,4550
AAM,2610,5210,6010,6430,B,6010
BCC,3800,9080,10850,11850,B,10850
AAT,7240,11150,12250,12900,A,12900
BCF,16950,24400,26400,27400,A,27400
ABS,5860,11150,12650,13500,B,12650
BDB,3290,6160,6980,7410,B,6980
ABT,16300,23550,25400,26400,B,25400
BED,20250,28850,31400,32650,A,32650
ACC,13500,17900,19150,19850,C,17900
BII,2800,6010,7040,7670,A,7670
ACL,7150,10450,11350,11850,B,11350
BKC,970,2460,2980,3260,D,970
ADG,23600,32200,34400,35500,B,34400
BLF,2580,3700,3990,4170,D,2580
ADS,15750,22650,24650,25650,C,22650
BNA,18100,27400,30050,31450,B,30050
AGG,24800,32250,34000,35100,B,34000
BPC,4350,7590,8530,9070,B,8530
BSC,8050,11250,12050,12500,Not enough data,8050
AGM,5320,12500,14950,16300,B,14950
BST,4550,9260,10650,11400,B,10650
AMD,1040,2400,2850,3090,B,2850
BTS,1710,3930,4690,5150,B,4690
ANV,6760,13700,15900,17050,C,13700
BTW,8560,15350,17450,18550,A,18550
APC,6420,11750,13300,14100,B,13300
BXH,7840,10450,11050,11450,B,11050
APH,9310,15850,17700,18750,B,17700
C69,3400,7010,8160,8840,Not enough data,3400
ASM,4090,7940,9240,10000,B,9240
C92,810,2140,2610,2880,C,2140
ASP,3560,6040,6810,7250,C,6040
CAG,3120,7030,8320,9110,A,9110
AST,28150,36750,38850,40050,C,36750
CAN,14200,27550,31650,33850,B,31650
BBC,19150,32950,37050,39100,B,37050
CAP,59100,69300,72800,74500,B,72800
BCE,4460,7840,9010,9650,B,9010
CDN,10950,16150,18000,18950,Not enough data,10950
BCG,8640,14150,15750,16650,B,15750
CEO,4910,10750,13250,14700,D,4910
BCM,24950,33950,36850,38300,B,36850
CET,830,2360,2920,3230,B,2920
BFC,7860,15150,17350,18500,B,17350
CIA,4980,7760,8540,8950,Not enough data,4980
BHN,26500,36200,39250,40850,A,40850
CJC,5060,8270,9180,9660,D,5060
BKG,3240,5700,6460,6870,B,6460
CKV,4770,7270,7960,8320,A,8320
BMC,9070,13750,15500,16550,A,16550
CLH,15400,20150,21350,22000,A,22000
BMP,32950,41850,44050,45200,A,45200
CLM,6300,12650,14450,15500,B,14450
BRC,7850,10850,11800,12250,B,11800
CMC,1640,4130,5000,5470,C,4130
BTP,7590,10850,11700,12150,B,11700
BTT,17400,24750,26700,27750,A,27750
CMS,2170,7090,9020,10100,C,7090
BWE,23450,31750,33750,35000,C,31750
CPC,7660,13000,14500,15300,B,14500
C32,15450,20900,22500,23400,B,22500
CSC,58000,84300,91100,95300,C,84300
C47,5550,10550,12050,12850,C,10550
CTB,11100,15800,17250,18000,C,15800
CAV,31100,40900,43350,44600,B,43350
CTC,810,2240,2760,3050,C,2240
CCI,3830,8680,10250,11150,A,11150
CTP,920,2460,3010,3310,B,3010
CCL,2780,6140,7240,7820,B,7240
CTT,5280,7820,8630,9050,C,7820
CDC,5120,8190,9050,9500,C,8190
CTX,3360,5660,6300,6690,C,5660
CEE,2720,5730,6690,7190,C,5730
CVN,4090,6280,6960,7320,A,7320
CHP,14500,17650,18400,18750,C,17650
CX8,3270,5030,5520,5790,C,5030
CIG,4210,7310,8350,8920,D,4210
D11,10700,19200,21600,22850,Not enough data,10700
DAD,8850,14050,15450,16300,A,16300
CII,6850,12700,14400,15300,C,12700
DAE,8140,12950,14500,15250,A,15250
CKG,8280,16300,18750,20050,C,16300
DC2,4200,7250,8090,8640,C,7250
CLC,18200,25400,27150,28000,A,28000
DDG,21450,25000,25900,26350,C,25000
CLL,16050,21950,23550,24350,A,24350
DHP,6560,8780,9330,9660,A,9660
CLW,11250,18350,20300,21300,A,21300
DHT,30350,35500,36700,37350,B,36700
CMG,31350,42150,45550,47150,B,45550
DIH,4710,13650,17050,18900,C,13650
CMV,3590,6670,7630,8140,A,8140
DL1,990,3040,3830,4280,B,3830
CMX,4430,8310,9610,10350,B,9610
DNC,11950,25450,29650,31800,A,31800
CNG,8830,14700,16500,17550,A,17550
DNM,13000,21250,23650,24900,C,21250
COM,11900,20600,22850,24150,A,24150
DNP,6310,10350,11550,12250,C,10350
CRC,1920,4190,4900,5300,D,1920
DP3,50500,70200,76400,79500,A,79500
CRE,8970,16850,19300,20600,A,20600
DPC,2140,5960,7360,8140,A,8140
CSM,8590,11850,12750,13250,C,11850
DS3,3350,5020,5590,5900,A,5900
CSV,12450,21800,24650,26250,A,26250
DST,680,2060,2580,2880,B,2580
CTD,41650,57900,62300,64600,A,64600
DTD,16950,27900,31050,32750,A,32750
CTF,11450,14500,15250,15600,B,15250
DTK,4280,7480,8380,8930,Not enough data,4280
CTI,5390,10100,11500,12250,C,10100
DVG,4250,8600,9970,10750,B,9970
CVT,20950,30600,33200,34550,B,33200
DXP,7190,11550,12850,13550,A,13550
D2D,25600,37650,40600,42100,A,42100
DZM,1410,3060,3690,4040,D,1410
DAG,4000,6910,7790,8300,D,4000
EBS,5940,7830,8290,8580,B,8290
DAH,2640,4930,5660,6020,C,4930
ECI,10400,15400,16950,17700,A,17700
DAT,4250,9240,10850,11700,B,10850
EID,12400,16800,17950,18550,A,18550
DBC,32650,49000,53500,55800,B,53500
FID,2080,4010,4640,4960,A,4960
DBD,30750,39150,41250,42350,A,42350
GDW,1820,5960,7610,8550,A,8550
DBT,5330,8480,9430,9960,C,8480
GIC,8670,13000,14150,14750,A,14750
DC4,10000,14450,15650,16250,B,15650
GKM,15750,22750,24800,25750,B,24800
DCL,10200,17850,20150,21450,C,17850
GLT,12050,18950,21250,22350,A,22350
DCM,8030,15800,18200,19450,A,19450
GMA,33900,44400,47150,48500,B,47150
DGC,88500,120600,131000,136200,A,136200
GMX,6620,11250,12550,13200,B,12550
DGW,22200,48250,56800,62000,A,62000
HAD,7850,11000,11850,12250,A,12250
DHA,27400,36250,38500,39650,A,39650
HAT,8700,12700,13750,14350,B,13750
DHC,41650,58400,62500,65100,A,65100
HCC,6170,8410,8940,9210,B,8940
DHG,72900,92300,97000,99500,A,99500
HCT,5330,8520,9700,10350,A,10350
DHM,7640,9690,10150,10450,B,10150
HDA,15700,20500,21700,22400,B,21700
DIG,23750,38400,42650,44950,C,38400
HEV,1240,4340,5610,6340,B,5610
DLG,2190,3780,4240,4530,D,2190
HGM,17400,26150,28800,30250,A,30250
DMC,27050,36200,38450,39700,A,39700
HHC,15150,29800,34400,36900,D,15150
DPG,25950,43750,49100,52100,B,49100
HHG,1940,3720,4320,4650,C,3720
DPM,12800,22500,25550,27300,A,27300
HJS,12950,18600,20500,21450,A,21450
DPR,41000,54200,58200,60200,A,60200
HKT,2070,3760,4230,4480,B,4230
DQC,12400,18000,19450,20350,C,18000
HLC,1880,4280,5140,5670,D,1880
DRC,13850,21000,22850,23850,A,23850
HLD,15200,23050,25250,26400,B,25250
HMH,7410,10750,11600,12150,A,12150
DRH,6160,11050,12500,13250,C,11050
HOM,3110,5100,5720,6070,C,5100
DRL,36300,47400,49900,51300,A,51300
HPM,5670,7260,7650,7850,B,7650
DSN,28650,36100,38050,38950,A,38950
HTC,14000,20250,21900,22750,A,22750
DTA,4400,9120,10600,11400,C,9120
DTL,22100,27400,28900,29600,C,27400
HTP,1900,6810,8810,10000,C,6810
DTT,9080,11500,12250,12600,B,12250
HUT,2100,5420,6600,7240,C,5420
DVP,32700,43450,46000,47600,A,47600
HVT,24100,35150,38650,40250,B,38650
DXG,6520,13300,15400,16500,A,16500
ICG,5130,8210,9240,9750,C,8210
DXS,8830,16250,18600,19850,A,19850
IDC,14350,31000,36650,39750,C,31000
DXV,1180,2600,3070,3320,B,3070
IDJ,19850,29750,33150,35150,C,29750
E1VFVN30,15700,19550,20550,21050,Not enough data,15700
IDV,26700,39450,42800,44650,Not enough data,26700
ELC,6530,12150,13800,14650,B,13800
INC,2450,4800,5480,5850,B,5480
EMC,5610,9370,10350,10900,C,9370
INN,19300,26800,28700,29600,B,28700
EVE,6900,10150,11100,11650,B,11100
ITQ,730,2250,2830,3160,B,2830
EVG,5790,9160,10300,10950,A,10950
KDM,1160,3040,3700,4070,A,4070
FCM,4270,6020,6570,6860,B,6570
KHS,3160,7890,9770,10900,B,9770
FCN,5190,10250,11800,12600,C,10250
KKC,2740,7410,9130,10100,A,10100
FDC,2490,5590,6610,7180,B,6610
KLF,570,1740,2190,2440,B,2190
FIR,25200,32150,33700,34600,A,34600
KMT,3220,5510,6130,6450,B,6130
FIT,3260,6340,7260,7730,A,7730
KSD,780,2080,2540,2790,B,2540
FLC,4770,8220,9140,9730,B,9140
KSF,17850,34000,38750,41900,Not enough data,17850
FMC,24150,35250,38050,39550,B,38050
KSQ,2050,3550,4170,4520,A,4520
FPT,52700,69100,73300,75600,A,75600
KST,11100,16350,17700,18400,A,18400
FRT,15800,30650,35150,37550,B,35150
KTS,2280,6170,7570,8340,C,6170
FTM,1630,3060,3460,3710,D,1630
KTT,1100,3410,4300,4800,C,3410
FUCTVGF2,5650,9130,10000,10500,Not enough data,5650
KVC,1440,3130,3700,4040,C,3130
FUCVREIT,3220,5620,6380,6820,Not enough data,3220
L14,38850,86600,103600,112600,A,112600
FUEMAV30,10650,13450,14150,14550,Not enough data,10650
L18,5420,14650,18100,20050,C,14650
FUESSV30,8900,12750,13750,14300,Not enough data,8900
L35,2170,3810,4300,4560,D,2170
FUESSV50,14650,17900,18700,19150,Not enough data,14650
L40,9010,16550,18850,20200,C,16550
FUESSVFL,11550,15400,16450,16900,Not enough data,11550
L43,640,1790,2220,2450,C,1790
FUEVFVND,17900,21800,22850,23300,Not enough data,17900
L61,590,1950,2500,2810,C,1950
FUEVN100,12400,15350,16100,16550,Not enough data,12400
GAB,177600,185100,186800,187700,B,186800
L62,2730,4420,4860,5100,C,4420
GAS,42250,61200,66300,68900,A,68900
LAS,9780,14600,16150,17000,B,16150
GDT,31350,42300,45000,46600,A,46600
LBE,5350,9920,11300,12050,C,9920
LCD,9480,13450,14600,15100,C,13450
GEG,8820,11950,13000,13550,C,11950
GEX,14350,22450,24600,25950,C,22450
LCS,430,1260,1570,1750,D,430
GIL,24200,38050,41750,43950,A,43950
LDP,10900,18550,21000,22400,C,18550
GMC,5410,11050,12800,13700,B,12800
LHC,43650,64800,71700,75500,A,75500
GMD,13700,23850,26800,28300,B,26800
LIG,2030,5120,6190,6780,C,5120
GSP,6390,9550,10350,10850,B,10350
LM7,1030,2590,3110,3410,D,1030
GTA,3880,7140,8240,8860,B,8240
LUT,1400,2680,3240,3540,Not enough data,1400
GTN,5510,9580,10800,11450,A,11450
MAC,2440,4370,4950,5260,C,4370
GVR,7430,15100,17500,18750,A,18750
MAS,9630,19000,21800,23200,C,19000
HAG,2750,4810,5430,5790,B,5430
MBG,1210,3480,4340,4810,A,4810
HAH,14850,29150,33500,35800,A,35800
MCC,6670,8290,8690,8880,B,8690
HAI,1160,2580,3040,3300,B,3040
MCF,3400,5370,6040,6390,B,6040
MCO,2330,3940,4560,4920,C,3940
HAP,2970,6260,7280,7810,B,7280
MDC,1490,3630,4360,4810,C,3630
HAR,1680,3590,4200,4520,B,4200
MED,12700,20300,22950,24450,C,20300
HAS,4310,6940,7650,8030,B,7650
MEL,6230,10350,11450,12150,B,11450
HAX,10650,17450,19250,20400,A,20400
MHL,510,1650,2090,2350,D,510
HBC,5300,10100,11750,12700,C,10100
MIM,1770,3670,4240,4550,D,1770
HCD,2310,4980,5830,6290,B,5830
MKV,5060,7460,8100,8440,C,7460
HDC,44050,65500,72100,74900,B,72100
MST,7880,11550,12600,13150,C,11550
HDG,32700,48500,52900,54900,C,48500
MVB,8010,13100,14650,15550,Not enough data,8010
HHP,2730,5340,6160,6600,B,6160
NAG,6390,9040,9810,10200,C,9040
HHS,2600,4680,5410,5810,A,5810
NAP,1140,3200,4010,4460,A,4460
HID,1940,4130,4820,5200,C,4130
NBC,2440,5570,6660,7310,C,5570
HII,7210,11200,12300,12900,B,12300
NBP,5560,9170,10150,10750,A,10750
HMC,11650,16150,17550,18250,A,18250
NBW,4200,9130,10550,11350,A,11350
HNG,2560,4690,5310,5640,D,2560
NDN,6930,11200,12400,13050,A,13050
HOT,5760,12450,14600,15700,B,14600
NDX,3260,5640,6290,6630,B,6290
HPG,18250,27450,29950,31300,A,31300
NET,28350,36500,39100,40450,A,40450
HPX,12200,19200,21150,22150,C,19200
NFC,4840,7530,8400,8830,A,8830
HQC,990,2310,2750,2990,C,2310
NHC,12450,18750,20850,21950,A,21950
HRC,6170,16650,20400,22450,C,16650
NRC,7840,13800,15500,16600,B,15500
HSG,13850,20550,22400,23500,A,23500
NSH,1240,3480,4300,4760,C,3480
HSL,1820,3680,4260,4570,B,4260
NST,3220,5300,5860,6150,B,5860
HT1,12150,16500,17900,18650,B,17900
NTH,14900,22100,23900,24850,A,24850
HTI,9970,13450,14500,14950,B,14500
NTP,30350,41600,44500,46200,B,44500
HTL,3960,8360,9750,10500,B,9750
OCH,2850,4950,5580,5940,C,4950
HTN,6920,14850,17550,19050,B,17550
ONE,3100,4860,5350,5640,C,4860
HTV,5830,8770,9510,9890,A,9890
PBP,950,2930,3700,4120,B,3700
HU1,1740,4320,5200,5690,B,5200
PCE,7660,12150,13700,14450,A,14450
HU3,1900,3670,4250,4590,C,3670
PCG,810,2560,3220,3610,B,3220
HUB,15500,21900,23500,24500,A,24500
PCT,1100,2550,3090,3420,A,3420
HVH,2720,5250,6020,6420,B,6020
PDB,7660,11950,13400,14250,B,13400
HVN,10100,14350,15550,16250,C,14350
PDC,630,1820,2260,2510,D,630
HVX,1540,3040,3540,3830,B,3540
PEN,3390,5290,5950,6270,C,5290
IBC,14450,16750,17400,17700,Not enough data,14450
PGN,5370,8460,9290,9810,B,9290
ICT,7350,11200,12250,12800,C,11200
PGS,8680,13700,15150,15900,C,13700
IDI,3420,6440,7390,7900,B,7390
PGT,1500,3250,4000,4420,A,4420
IJC,10200,16450,18350,19400,B,18350
PHN,11500,21550,24400,26000,A,26000
ILB,14500,20600,22500,23500,C,20600
PHP,9840,15350,17150,18000,A,18000
IMP,44350,56000,59400,60900,A,60900
PIA,11450,16400,17750,18450,A,18450
ITA,3200,6230,7210,7730,B,7210
PIC,3960,6620,7390,7790,A,7790
ITC,8290,13050,14300,15050,Not enough data,8290
PJC,5600,10250,11550,12250,B,11550
ITD,4070,7580,8740,9420,C,7580
PLC,14050,23200,25750,27200,B,25750
JVC,1600,3400,3970,4270,Not enough data,1600
PMB,5180,8690,9870,10450,A,10450
KBC,11100,21950,25450,27350,B,25450
PMC,31600,43500,46650,48250,A,48250
KDC,36600,44200,46000,47000,B,46000
PMP,5090,8540,9530,10100,C,8540
KDH,23700,32650,35050,36300,A,36300
PMS,6370,10150,11500,12200,A,12200
KHG,4620,9000,10300,11150,A,11150
POT,7410,11200,12250,12900,D,7410
KHP,8200,11600,12650,13100,C,11600
PPE,1020,2840,3600,4070,A,4070
KMR,1500,3340,3940,4260,B,3940
PPP,5590,9330,10400,11000,A,11000
KOS,14350,20150,21700,22450,B,21700
PPS,6430,8970,9650,10000,B,9650
KPF,4600,8270,9400,9990,B,9400
PPY,3480,6990,7980,8550,A,8550
KSB,13950,22050,24300,25550,B,24300
PRC,6090,9260,10100,10600,C,9260
L10,3550,8780,10600,11550,C,8780
PSC,5730,9000,9910,10400,C,9000
LAF,2350,6800,8430,9320,B,8430
PSD,11400,17950,19800,20850,A,20850
LBM,18950,36100,41250,43950,A,43950
PSE,5980,9730,11000,11750,A,11750
LCG,4170,8840,10300,11100,C,8840
PSW,2460,6050,7360,8150,A,8150
LCM,1590,2740,3100,3320,C,2740
PTD,9930,13300,14200,14650,B,14200
LDG,2600,5470,6370,6850,B,6370
PTS,4840,7240,7850,8240,C,7240
