Ticker  ,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group          ,Breakeven Price
BAB     ,9620      ,14900     ,16500     ,17200     ,C              ,14900
ACB     ,14550     ,21300     ,23100     ,24100     ,A              ,24100
NVB     ,11600     ,17750     ,19700     ,20550     ,C              ,17750
BID     ,22000     ,30100     ,32200     ,33300     ,A              ,33300
SHB     ,7740      ,13000     ,14500     ,15350     ,C              ,13000
CTG     ,12550     ,19300     ,21200     ,22150     ,B              ,21200
AAV     ,10000     ,15300     ,17000     ,18000     ,B              ,17000
EIB     ,12250     ,18000     ,19500     ,20400     ,C              ,18000
ACM     ,540       ,1310      ,1570      ,1710      ,D              ,540
HDB     ,11100     ,17500     ,19250     ,20200     ,C              ,17500
ADC     ,1300      ,4660      ,6110      ,6960      ,B              ,6110
LPB     ,9600      ,14800     ,16150     ,16900     ,C              ,14800
ALT     ,1770      ,4800      ,5970      ,6630      ,B              ,5970
MBB     ,10800     ,17100     ,18750     ,19750     ,A              ,19750
AMC     ,6070      ,12000     ,13800     ,14800     ,B              ,13800
MSB     ,11350     ,16950     ,18450     ,19350     ,A              ,19350
AME     ,3660      ,6020      ,6810      ,7230      ,C              ,6020
OCB     ,12550     ,18750     ,20350     ,21350     ,A              ,21350
AMV     ,4540      ,7160      ,7890      ,8280      ,A              ,8280
SSB     ,19650     ,27550     ,29650     ,30950     ,C              ,27550
API     ,11000     ,25700     ,30900     ,33800     ,C              ,25700
STB     ,7680      ,13900     ,15850     ,16850     ,C              ,13900
TCB     ,27800     ,37750     ,40450     ,41900     ,A              ,41900
APP     ,790       ,2690      ,3440      ,3870      ,B              ,3440
TPB     ,21450     ,30750     ,33150     ,34600     ,A              ,34600
ARM     ,18600     ,28700     ,31500     ,33000     ,C              ,28700
VCB     ,53200     ,72800     ,77600     ,79900     ,A              ,79900
ASG     ,15850     ,20900     ,22200     ,22850     ,B              ,22200
VIB     ,16550     ,25900     ,28350     ,29900     ,C              ,25900
ATS     ,20800     ,25750     ,26900     ,27600     ,B              ,26900
VPB     ,9420      ,17600     ,20150     ,21550     ,A              ,21550
BAX     ,33050     ,46200     ,50300     ,52400     ,A              ,52400
AAA     ,6520      ,10100     ,11000     ,11500     ,B              ,11000
BBS     ,5010      ,7710      ,8620      ,9090      ,D              ,5010
AAM     ,2560      ,5240      ,6100      ,6560      ,B              ,6100
BCC     ,3730      ,8670      ,10350     ,11300     ,B              ,10350
AAT     ,7620      ,11800     ,12950     ,13600     ,A              ,13600
BCF     ,17350     ,24900     ,26900     ,27950     ,A              ,27950
ABS     ,7630      ,13400     ,15150     ,16150     ,B              ,15150
BDB     ,3850      ,6980      ,7880      ,8330      ,B              ,7880
ABT     ,15650     ,22650     ,24350     ,25300     ,B              ,24350
BED     ,20250     ,28850     ,31400     ,32650     ,A              ,32650
ACC     ,12850     ,17150     ,18550     ,19150     ,C              ,17150
BII     ,3130      ,6480      ,7710      ,8340      ,A              ,8340
ACL     ,7370      ,10650     ,11500     ,12000     ,B              ,11500
BKC     ,980       ,2480      ,3020      ,3320      ,D              ,980
ADG     ,23600     ,32050     ,34200     ,35300     ,B              ,34200
BLF     ,2150      ,3090      ,3340      ,3480      ,D              ,2150
ADS     ,16800     ,24050     ,26150     ,27200     ,C              ,24050
BNA     ,19750     ,29500     ,32400     ,33750     ,B              ,32400
AGG     ,24550     ,31850     ,33600     ,34700     ,B              ,33600
BPC     ,4210      ,7100      ,7930      ,8400      ,B              ,7930
BSC     ,9600      ,13150     ,14000     ,14550     ,Not enough data,9600
AGM     ,5360      ,12400     ,14800     ,16150     ,B              ,14800
BST     ,3780      ,7650      ,8810      ,9430      ,B              ,8810
AMD     ,940       ,2090      ,2480      ,2700      ,B              ,2480
BTS     ,1660      ,3820      ,4580      ,5030      ,B              ,4580
ANV     ,7220      ,14300     ,16500     ,17700     ,C              ,14300
BTW     ,7940      ,15050     ,17050     ,18150     ,A              ,18150
APC     ,6470      ,11650     ,13150     ,14000     ,B              ,13150
BXH     ,9350      ,11200     ,11600     ,11850     ,B              ,11600
APH     ,10700     ,18050     ,20100     ,21250     ,B              ,20100
C69     ,6450      ,10150     ,11450     ,12050     ,Not enough data,6450
ASM     ,4400      ,8350      ,9670      ,10500     ,B              ,9670
C92     ,860       ,2250      ,2760      ,3050      ,C              ,2250
ASP     ,3930      ,6570      ,7380      ,7850      ,C              ,6570
CAG     ,3530      ,8160      ,9800      ,10700     ,A              ,10700
AST     ,29600     ,38250     ,40400     ,41600     ,C              ,38250
CAN     ,10800     ,21650     ,24950     ,26850     ,B              ,24950
BBC     ,22600     ,33700     ,37800     ,39900     ,B              ,37800
CAP     ,57100     ,67100     ,70500     ,72200     ,B              ,70500
BCE     ,4730      ,7870      ,9040      ,9660      ,B              ,9040
CDN     ,11350     ,16700     ,18600     ,19550     ,Not enough data,11350
BCG     ,5860      ,11350     ,13050     ,13950     ,B              ,13050
CEO     ,6160      ,12950     ,15750     ,17350     ,D              ,6160
BCM     ,24650     ,34300     ,37150     ,38600     ,B              ,37150
CET     ,940       ,2610      ,3250      ,3610      ,B              ,3250
BFC     ,8440      ,15800     ,18050     ,19250     ,B              ,18050
CIA     ,5530      ,8530      ,9360      ,9800      ,Not enough data,5530
BHN     ,27500     ,37900     ,41000     ,42650     ,A              ,42650
CJC     ,4620      ,7460      ,8260      ,8690      ,D              ,4620
BKG     ,3230      ,5670      ,6390      ,6780      ,B              ,6390
CKV     ,4880      ,7350      ,8030      ,8380      ,A              ,8380
BMC     ,9770      ,14350     ,16150     ,17150     ,A              ,17150
CLH     ,17000     ,22000     ,23250     ,23950     ,A              ,23950
BMP     ,34000     ,43900     ,46100     ,47300     ,A              ,47300
CLM     ,6910      ,13550     ,15450     ,16500     ,B              ,15450
BRC     ,8140      ,11300     ,12300     ,12700     ,B              ,12300
CMC     ,2090      ,5240      ,6370      ,7000      ,C              ,5240
BTP     ,8000      ,11350     ,12250     ,12700     ,B              ,12250
BTT     ,21850     ,30900     ,33200     ,34400     ,A              ,34400
CMS     ,2260      ,6660      ,8320      ,9280      ,C              ,6660
BWE     ,24300     ,32950     ,35150     ,36450     ,C              ,32950
CPC     ,8900      ,14650     ,16250     ,17100     ,B              ,16250
C32     ,17000     ,22500     ,24150     ,25050     ,B              ,24150
CSC     ,59300     ,86100     ,92900     ,97000     ,C              ,86100
C47     ,4710      ,8760      ,10000     ,10650     ,C              ,8760
CTB     ,12300     ,17250     ,18650     ,19400     ,C              ,17250
CAV     ,30850     ,40450     ,42800     ,44050     ,B              ,42800
CTC     ,810       ,2160      ,2660      ,2940      ,C              ,2160
CCI     ,3960      ,8750      ,10350     ,11250     ,A              ,11250
CTP     ,910       ,2340      ,2860      ,3150      ,B              ,2860
CCL     ,2940      ,6250      ,7340      ,7930      ,B              ,7340
CTT     ,4850      ,7810      ,8600      ,8990      ,C              ,7810
CDC     ,5370      ,8640      ,9560      ,10050     ,C              ,8640
CTX     ,3060      ,5250      ,5880      ,6230      ,C              ,5250
CEE     ,2900      ,6170      ,7250      ,7830      ,C              ,6170
CVN     ,4440      ,6890      ,7590      ,7990      ,A              ,7990
CHP     ,13750     ,16700     ,17400     ,17750     ,C              ,16700
