Ticker  ,0% at Risk,1% at Risk        ,3% at Risk        ,5% at Risk        ,Groupp         ,Breakeven Price
BAB     ,8356.0    ,12999.98          ,14395.46          ,15096.1           ,C              ,13000
ACB     ,14188.0   ,20661.21          ,22326.51          ,23308.0           ,A              ,23300
BID     ,20275.0   ,27626.0           ,29538.0           ,30506.15          ,A              ,30500
NVB     ,11330.0   ,17383.35          ,19186.82          ,20037.7           ,C              ,17400
CTG     ,11783.0   ,18005.52          ,19739.64          ,20630.4           ,B              ,19750
SHB     ,9647.0    ,15940.12          ,17683.08          ,18622.4           ,C              ,15950
EIB     ,9742.0    ,13943.0           ,15134.0           ,15740.55          ,C              ,13950
AAV     ,12067.0   ,17539.0           ,19401.83          ,20442.45          ,B              ,19400
HDB     ,9026.0    ,14045.0           ,15458.0           ,16193.0           ,C              ,14050
ACM     ,507.0     ,1286.38           ,1556.0            ,1702.0            ,D              ,510
LPB     ,8136.0    ,12631.16          ,13825.96          ,14451.8           ,C              ,12650
MBB     ,10314.0   ,16224.2           ,17807.2           ,18762.0           ,A              ,18750
ADC     ,1148.0    ,4371.6            ,5946.8            ,6904.0            ,B              ,5950
MSB     ,9022.0    ,13629.86          ,14845.62          ,15549.0           ,A              ,15550
ALT     ,2795.0    ,5921.0            ,6854.51           ,7356.85           ,B              ,6850
OCB     ,10596.0   ,15995.6           ,17425.6           ,18304.0           ,A              ,18300
AMC     ,5628.0    ,10991.35          ,12558.0           ,13429.35          ,B              ,12550
SSB     ,17272.0   ,24612.35          ,26648.4           ,27784.0           ,C              ,24600
AME     ,3410.0    ,5547.7            ,6239.1            ,6591.25           ,C              ,5550
STB     ,6776.0    ,12144.83          ,13800.0           ,14673.0           ,C              ,12150
AMV     ,4139.0    ,6470.89           ,7125.0            ,7467.450000000001 ,A              ,7470
TCB     ,26919.0   ,36516.4           ,38877.4           ,40234.0           ,A              ,40250
API     ,10370.0   ,24067.8           ,28928.8           ,31605.0           ,C              ,24050
TPB     ,20765.0   ,29394.2           ,31725.12          ,33025.6           ,A              ,33050
APP     ,940.0     ,2947.1            ,3758.0            ,4217.0            ,B              ,3760
VCB     ,50963.0   ,68829.9           ,72980.95          ,75165.75          ,A              ,75200
ARM     ,17690.0   ,26711.48          ,29487.68          ,31100.4           ,C              ,26700
VIB     ,11943.0   ,19519.920000000002,21698.0           ,22858.8           ,C              ,19500
ASG     ,14900.0   ,19776.0           ,21022.25          ,21655.75          ,B              ,21000
VPB     ,9440.0    ,17484.0           ,19895.13          ,21306.7           ,A              ,21300
ATS     ,20784.0   ,25773.0           ,26915.09          ,27605.15          ,B              ,26900
AAA     ,7169.0    ,10686.34          ,11624.17          ,12131.95          ,B              ,11600
BAX     ,32630.0   ,44444.68          ,48389.05          ,50486.05          ,A              ,50500
AAM     ,2201.0    ,4220.1            ,4893.299999999999 ,5320.0            ,B              ,4890
BBS     ,3551.0    ,6019.57           ,6793.0            ,7189.85           ,D              ,3550
AAT     ,7730.0    ,12034.85          ,13256.1           ,13887.0           ,A              ,13900
BCC     ,9753.0    ,15274.06          ,17011.06          ,17777.05          ,B              ,17000
ABS     ,5063.0    ,9109.7            ,10357.0           ,11017.0           ,B              ,10350
BCF     ,16648.0   ,24223.62          ,26231.86          ,27313.05          ,A              ,27300
ABT     ,15497.0   ,22536.29          ,24250.0           ,25151.25          ,B              ,24250
BDB     ,7129.0    ,10586.13          ,11707.78          ,12201.65          ,B              ,11700
ACC     ,7735.0    ,12221.5           ,13479.25          ,14151.75          ,C              ,12200
BED     ,20265.0   ,28862.94          ,31413.96          ,32654.75          ,A              ,32650
ACL     ,6976.0    ,9817.0            ,10565.25          ,10952.0           ,B              ,10550
BII     ,3471.0    ,6918.5            ,8266.7            ,8948.0            ,A              ,8950
ADG     ,22425.0   ,30249.48          ,32260.44          ,33274.8           ,B              ,32250
ADS     ,15582.0   ,22038.63          ,23933.12          ,24854.7           ,C              ,22050
BKC     ,1665.0    ,3521.66           ,4101.0            ,4403.0            ,D              ,1660
AGG     ,28617.0   ,36182.36          ,38105.04          ,39108.4           ,B              ,38100
BLF     ,1823.0    ,2618.85           ,2831.0            ,2940.0            ,D              ,1820
