Ticker,Group,Breakeven Price,1% at Risk,3% at Risk,5% at Risk,Proposed Price
BAB,C,8450,13097.64,14515.6,15219.4,13100
ACB,A,13450,19604.97,21179.82,22128.0,22150
NVB,C,10650,16282.36,17971.88,18760.2,16300
BID,A,18900,25941.09,27809.27,28757.0,28750
SHB,C,9080,14884.7,16525.22,17408.7,14900
CTG,B,11350,17397.36,19071.31,19949.95,19050
AAV,B,11150,16699.8,18539.7,19567.75,18550
EIB,C,10500,14873.039999999999,16109.24,16722.0,14850
ACM,D,480,1252.83,1533.0,1680.15,480
HDB,C,7390,12399.1,13857.26,14619.0,12400
LPB,C,8980,13554.46,14824.7,15432.0,13550
MBB,A,9450,15186.43,16816.16,17711.0,17700
ADC,B,1040,3922.58,5384.0,6245.0,5380
MSB,A,13800,19803.97,21264.91,22090.8,22100
ALT,B,2860,5638.0,6441.0,6874.950000000001,6440
OCB,A,8900,13778.8,15067.0,15837.0,15850
AMC,B,6120,11604.95,13249.0,14084.0,13250
SSB,C,16150,23330.78,25283.52,26533.4,23350
AME,C,2790,4745.59,5381.0,5742.0,4750
STB,C,6540,11746.0,13353.0,14199.0,11750
AMV,A,3460,5420.0,5969.0,6259.0,6260
TCB,A,24900,34078.35,36608.48,37917.0,37900
API,C,6360,14847.64,17867.0,19531.7,14850
TPB,A,18300,26474.48,28561.58,29843.2,29850
APP,B,750,2149.17,2715.0,3032.0,2720
VCB,A,51100,69002.76,73237.14,75409.9,75400
ARM,C,20800,31141.52,34264.72,35665.6,31150
VIB,C,12000,19542.64,21591.92,22830.0,19550
ASG,B,12700,17368.44,18715.0,19442.0,18700
VPB,A,35800,47539.32,50654.58,52387.0,52400
ATS,B,20800,25773.0,26915.09,27605.15,26900
AAA,B,6240,9460.5,10300.25,10740.0,10300
BAX,A,33050,47492.66,51949.0,54020.0,54000
AAM,B,2030,4169.27,4880.8099999999995,5261.35,4880
BBS,D,3460,5405.3,6090.0,6465.0,3460
AAT,A,9300,13845.1,15219.82,15902.0,15900
BCC,B,7170,11533.08,12809.02,13503.7,12800
ABS,B,5650,9875.0,11157.96,11830.0,11150
BCF,A,16350,24248.2,26357.7,27492.5,27500
ABT,B,13300,19780.75,21364.45,22181.75,21350
BDB,B,4510,6915.54,7530.24,7846.0,7530
ACC,C,5490,8767.26,9699.78,10192.0,8770
BED,A,20250,28862.94,31413.96,32654.75,32650
ACL,B,5080,7439.47,8075.0,8401.0,8080
BII,A,3290,6874.28,8202.28,8884.6,8880
ADG,B,20600,27832.3,29686.0,30629.5,29700
BKC,D,920,2164.0,2654.0,2936.0,920
ADS,C,18450,24882.75,26531.0,27520.25,24900
BLF,D,1340,1984.0,2136.0,2221.0,1340
AGG,B,24650,31444.84,33069.0,34039.1,33050
BNA,B,23100,36717.2,40764.93,42774.85,40750
AGM,B,5330,12414.12,14760.08,16088.6,14750
BPC,B,3570,6190.16,6961.37,7367.0,6960
AMD,B,530,1431.0,1741.0,1914.0,1740
BSC,Not enough data,8240,11008.57,11686.57,12079.0,Not enough data
BST,B,3400,6484.0,7480.15,7998.25,7480
ANV,C,6070,11748.74,13571.48,14547.9,11750
BTS,B,1690,3808.0,4544.0,4991.0,4540
APC,B,10000,13770.0,15029.77,15688.95,15050
BTW,A,8120,15416.0,17424.4,18555.0,18550
APH,B,11200,18762.65,20926.59,22096.0,20950
BXH,B,7230,8775.25,9137.0,9330.0,9140
C69,Not enough data,2270,4880.58,5767.0,6247.9,Not enough data
ASM,B,3140,5958.200000000001,6903.45,7496.0,6900
C92,C,780,1815.0,2182.6099999999997,2396.3500000000004,1820
ASP,C,6590,9052.76,9833.41,10220.0,9050
CAG,A,3640,8262.0,9643.0,10473.0,10450
AST,C,30150,39332.25,41699.25,42998.0,39350
BBC,B,19450,32119.09,36065.0,38022.45,36050
CAN,B,6200,12973.83,15016.49,16150.05,15000
BCE,B,6180,8975.32,9726.32,10148.0,9730
CAP,B,51900,61476.9,64577.89,65827.5,64600
CEO,D,2630,4861.0,5484.0,5824.0,2630
BCG,B,6740,10486.32,11499.74,12119.45,11500
CET,B,640,1599.76,1971.0,2218.0,1970
BCM,B,20250,28218.0,30375.0,31495.0,30400
CIA,Not enough data,5430,8286.0,9044.74,9480.9,Not enough data
CJC,D,6400,9420.89,10233.89,10652.15,6400
BFC,B,8960,15116.81,17168.62,18268.35,17150
CKV,A,4560,7615.0,8426.0,8862.0,8860
BHN,A,25200,35823.3,38809.06,40359.0,40350
CLH,A,15700,19877.78,20956.51,21488.75,21500
BKG,B,3690,5368.62,5918.0,6207.0,5920
CLM,B,7320,12281.85,13689.0,14429.25,13700
CMC,C,1520,2973.0,3443.0,3688.0,2970
BMC,A,5410,11866.75,13979.0,15148.0,15150
BMP,A,27600,36777.28,38788.84,39921.0,39900
CMS,C,460,1253.25,1547.0,1710.0,1250
BRC,B,7230,9982.2,10794.0,11188.0,10800
CPC,B,8620,12503.28,13736.0,14384.7,13750
BTP,B,8220,11134.52,11883.56,12273.2,11900
CSC,C,27400,40903.0,44895.0,46750.0,40900
BTT,A,23000,32953.88,35443.94,36772.0,36750
CTB,C,11450,17192.43,18592.0,19315.0,17200
BWE,C,20000,27220.760000000002,29003.84,30103.2,27200
CTC,C,2230,3637.0,4171.84,4484.0,3640
C32,B,15250,21183.0,22632.0,23358.0,22650
C47,C,5510,8187.4,8872.4,9283.0,8190
CTP,B,1420,2516.0,2874.0,3082.0,2870
CAV,B,31850,41252.42,43533.78,44812.1,43550
CTT,C,4980,7037.0,7732.53,8095.55,7040
CCI,A,7200,11260.16,12510.58,13226.3,13250
CTX,C,2180,3743.36,4192.0,4452.0,3740
CVN,A,3240,4738.0,5193.0,5446.0,5450
CCL,B,2170,5000.0,5937.0,6465.8,5940
CX8,C,2770,4010.56,4360.0,4546.0,4010
CDC,C,4140,6892.24,7675.719999999999,8096.0,6890
D11,Not enough data,10350,14997.86,16647.16,17530.3,Not enough data
CEE,C,2570,5160.0,5971.98,6448.3,5160
DAD,A,8910,14245.49,15665.66,16571.0,16550
CHP,C,12450,14969.460000000001,15578.0,15883.0,14950
DAE,A,7910,12051.86,13309.3,13925.0,13900
CIG,D,2000,3707.12,4225.54,4531.0,2000
DC2,C,1070,3176.52,4023.0,4500.0,3180
CII,C,7740,10829.26,11685.78,12165.3,10850
DDG,C,28900,32576.51,33433.0,33850.85,32600
CKG,C,10300,15540.44,16898.32,17605.4,15550
DHP,A,6160,7997.0,8440.0,8688.0,8690
CLC,A,17000,23984.02,25708.01,26559.35,26550
DHT,B,31700,37327.0,38659.0,39319.0,38650
CLL,A,19600,26337.0,28221.98,29146.0,29150
DIH,C,3260,8560.6,10544.119999999999,11765.0,8560
CLW,A,9440,15227.92,16753.92,17604.4,17600
DL1,B,1120,2772.06,3382.0,3760.0,3380
CMG,B,29700,40462.25,43298.0,44858.25,43300
DNC,A,11300,24530.4,28595.0,30729.0,30750
CMV,A,3070,5826.0,6698.0,7164.0,7160
DNM,C,9370,16290.48,18318.0,19405.2,16300
CMX,B,4790,7194.88,7893.32,8266.2,7890
DNP,C,6800,10746.8,11873.0,12451.5,10750
CNG,A,18950,24953.78,26729.78,27590.45,27600
DP3,A,47250,71974.35,78451.63,81765.1,81800
COM,A,6880,14712.75,17477.0,19135.0,19150
DPC,A,2690,6309.8,7609.2,8400.5,8400
DS3,A,2400,3734.0,4174.86,4413.1,4410
CRC,D,2190,4461.0,5161.0,5547.0,2190
DST,B,800,1796.92,2104.0,2277.0,2100
CRE,A,7810,14262.72,16215.4,17302.6,17300
DTD,A,11450,18498.99,20540.64,21584.95,21600
CSM,C,8650,11419.9,12314.0,12781.0,11400
DVG,B,2190,4899.0,5838.0,6351.05,5840
CSV,A,24250,34165.86,37236.58,38782.9,38800
DXP,A,6390,10347.0,11448.57,12068.95,12050
CTD,A,30650,41552.39,45158.0,46992.8,47000
CTF,B,11450,14454.32,15195.0,15570.0,15200
DZM,D,2600,4593.8,5211.4,5557.5,2600
CTI,C,6540,9494.57,10299.71,10731.0,9490
EBS,B,4430,6198.82,6657.0,6902.1,6660
CVT,B,8180,16386.02,19007.02,20403.7,19000
ECI,A,27550,35658.76,37605.12,38758.6,38750
D2D,A,18000,28073.0,30859.84,32304.4,32300
EID,A,12150,16442.28,17566.21,18128.35,18150
DAG,D,2360,3574.38,3871.0,4035.0,2360
FID,A,960,2244.0,2681.0,2915.6000000000004,2920
DAH,C,2030,3990.6,4561.8,4872.0,3990
GDW,A,4680,10333.35,12096.449999999999,13044.0,13050
GIC,A,8110,11839.92,13096.0,13785.9,13800
DAT,B,4710,9066.64,10805.0,11767.8,10800
GKM,B,12750,18132.0,19573.83,20361.05,19550
DBC,B,23200,34491.24,37562.92,39156.6,37550
GLT,A,8690,16456.28,18643.0,19814.4,19800
DBD,A,28050,34999.28,36734.84,37700.0,37700
GMA,B,28950,41090.84,44081.96,45776.8,44100
DBT,C,5320,8077.0,8950.83,9436.05,8080
GMX,B,8680,14209.5,15716.75,16507.0,15700
DC4,B,5380,7812.0,8434.46,8788.1,8430
HAD,A,7560,10623.0,11513.8,11968.5,11950
DCL,C,14300,20924.4,22915.16,23988.6,20900
HAT,B,8040,11762.0,12733.0,13276.0,12750
DCM,A,6340,11212.04,12670.0,13506.0,13500
HCC,B,5570,7579.26,8108.78,8376.0,8110
DGC,A,73400,99353.98,107190.23,110982.95,111000
HCT,A,4110,6751.0,7730.0,8265.55,8270
