Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
ACB,14700,21200,22950,23800,A,23800
BAB,9550,13850,15000,15600,C,13850
BID,17200,25450,27750,28950,A,28950
NVB,11000,17400,19300,20300,C,17400
CTG,12250,18500,20200,21100,B,20200
SHB,6790,11250,12500,13200,C,11250
EIB,8480,14950,16850,17850,C,14950
AAV,8350,13550,14950,15850,B,14950
HDB,10300,15800,17350,18150,C,15800
ACM,270,770,970,1080,D,270
LPB,5540,10050,11450,12200,C,10050
ADC,1680,5440,6980,7870,B,6980
MBB,11650,18300,20150,21150,A,21150
ALT,920,3590,4710,5360,B,4710
MSB,10400,15600,16950,17700,A,17700
OCB,10400,15650,17100,17850,A,17850
AMC,6690,12750,14600,15500,B,14600
SSB,17350,24850,26900,27900,C,24850
AME,1830,4010,4770,5230,C,4010
STB,8320,14600,16500,17550,C,14600
AMV,3780,6370,7140,7540,A,7540
TCB,24600,34000,36300,37500,A,37500
API,10450,23750,28200,30900,C,23750
TPB,14800,23100,25400,26650,A,26650
APP,870,2740,3450,3860,B,3450
VCB,35150,50900,55100,57300,A,57300
ARM,22350,32600,35200,36550,C,32600
VIB,15950,25150,27750,29100,C,25150
ASG,18400,22450,23600,24250,B,23600
VPB,8700,16250,18650,19950,A,19950
ATS,12300,17300,18600,19300,B,18600
AAA,4110,7850,9010,9620,B,9010
BAX,37300,52000,55800,57800,A,57800
AAM,5670,8060,8730,9120,B,8730
BBS,4240,6700,7430,7830,D,4240
AAT,5060,7960,8760,9200,A,9200
BCC,3160,7420,8900,9700,B,8900
ABS,5030,10200,11650,12500,B,11650
BCF,19500,26450,28250,29200,A,29200
ABT,17400,26100,28300,29450,B,28300
BDB,2560,5080,5820,6210,B,5820
ACC,4010,8720,10300,11150,C,8720
BED,21100,30050,32300,33700,A,33700
ACL,9820,14100,15150,15850,B,15150
BII,1370,3790,4740,5270,A,5270
ADG,25750,34850,36950,38050,B,36950
BKC,1860,3740,4520,4950,D,1860
ADS,14500,21150,22900,23950,C,21150
BLF,2050,3110,3390,3560,D,2050
AGG,18350,27000,29350,30600,B,29350
BNA,21050,29500,31750,32950,B,31750
AGM,10050,21400,25350,27450,B,25350
BPC,3010,5860,6670,7110,B,6670
AMD,1600,3050,3480,3710,B,3480
BSC,11500,16200,17350,18100,Not enough data,11500
ANV,8010,15900,18400,19750,C,15900
BST,1300,3830,4810,5370,B,4810
APC,12350,17950,19450,20200,B,19450
BTS,2060,4310,5180,5660,B,5180
APH,8120,13000,14300,15050,B,14300
BTW,9400,16500,18400,19450,A,19450
ASM,5360,9100,10200,10800,B,10200
BXH,7780,10900,11650,12150,B,11650
ASP,6820,9870,10850,11350,C,9870
C69,5120,8300,9230,9770,Not enough data,5120
AST,30900,40850,43400,44650,C,40850
C92,880,2410,2990,3300,C,2410
