Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
ACB,14450,21100,22900,23800,A,23800
BAB,8600,13350,14650,15450,C,13350
BID,14050,21100,23000,24000,A,24000
NVB,12650,19650,21650,22700,C,19650
CTG,12550,19400,21300,22300,B,21300
SHB,6590,11300,12700,13400,C,11300
AAV,8420,13450,15100,15900,B,15100
EIB,8650,15750,17800,18900,C,15750
ACM,610,1370,1620,1760,D,610
HDB,11600,17850,19600,20500,C,17850
ADC,1170,4120,5340,6040,B,5340
LPB,5560,10100,11500,12250,C,10100
ALT,1890,5290,6620,7380,B,6620
MBB,9710,15650,17350,18200,A,18200
AMC,5210,10550,12200,13050,B,12200
MSB,11450,17200,18650,19550,A,19550
AME,4650,7810,8890,9390,C,7810
OCB,11250,16900,18350,19250,A,19250
AMV,4530,7450,8300,8740,A,8740
SSB,22500,31200,33500,34900,C,31200
API,9660,23300,28250,31000,C,23300
STB,7720,14200,16200,17250,C,14200
TCB,24250,34100,36650,38000,A,38000
APP,870,2730,3440,3860,B,3440
TPB,15900,24650,27000,28350,A,28350
ARM,19450,29150,31850,33200,C,29150
VCB,30650,45450,49450,51500,A,51500
ASG,15850,20150,21300,21900,B,21300
VIB,16900,26650,29400,30900,C,26650
ATS,18350,22500,23500,24000,B,23500
VPB,8050,15350,17650,18850,A,18850
BAX,32700,44350,48100,50000,A,50000
AAA,4740,9040,10350,11000,B,10350
BBS,4140,6600,7400,7820,D,4140
AAM,2660,5240,6030,6450,B,6030
BCC,3420,8110,9690,10550,B,9690
AAT,6740,10450,11450,12050,A,12050
BCF,17050,24300,26250,27250,A,27250
ABS,6690,12800,14550,15500,B,14550
BDB,3040,5870,6670,7110,B,6670
ABT,16150,23700,25650,26650,B,25650
BED,20250,28850,31400,32650,A,32650
ACC,18900,25550,27350,28250,C,25550
BII,2620,5140,6130,6720,A,6720
ACL,7520,10900,11800,12300,B,11800
BKC,1220,2950,3540,3860,D,1220
ADG,23450,32100,34300,35450,B,34300
BLF,3420,4880,5280,5490,D,3420
ADS,16600,23650,25700,26700,C,23650
BNA,15500,23950,26250,27600,B,26250
AGG,30050,38650,40900,42050,B,40900
BPC,3260,5880,6680,7100,B,6680
BSC,10600,14900,16100,16700,Not enough data,10600
AGM,5410,12300,14700,16000,B,14700
BST,1860,5030,6230,6970,B,6230
AMD,2550,4560,5140,5440,B,5140
BTS,1680,3810,4550,5000,B,4550
ANV,6870,13850,16050,17150,C,13850
BTW,10750,18750,21000,22200,A,22200
APC,11650,16150,17650,18450,B,17650
BXH,8870,12050,12800,13300,B,12800
APH,10200,17150,19150,20200,B,19150
C69,3110,6520,7660,8280,Not enough data,3110
ASM,4860,9240,10700,11550,B,10700
C92,990,2560,3110,3410,C,2560
ASP,3830,6380,7230,7700,C,6380
CAG,3300,7440,8810,9640,A,9640
AST,27450,36100,38200,39400,C,36100
CAN,13700,26500,30500,32650,B,30500
BBC,19050,33350,37050,39050,B,37050
CAP,57700,68600,71800,73600,B,71800
BCE,4800,8550,9740,10450,B,9740
CDN,10550,15800,17600,18500,Not enough data,10550
BCG,7460,12500,14000,14800,B,14000
CEO,7640,21150,26100,28850,D,7640
BCM,30000,41800,45400,47200,B,45400
CET,870,2440,3020,3340,B,3020
BFC,7560,14500,16600,17700,B,16600
CIA,5330,8280,9120,9540,Not enough data,5330
BHN,27100,36800,39900,41500,A,41500
CJC,4490,7370,8190,8620,D,4490
BKG,3320,6050,6850,7260,B,6850
CKV,6860,10200,11050,11550,A,11550
BMC,4540,9710,11350,12250,A,12250
CLH,14550,19300,20450,21150,A,21150
BMP,32850,42000,44300,45450,A,45450
CLM,6800,13350,15250,16300,B,15250
BRC,7740,10400,11350,11800,B,11350
CMC,1660,4200,5090,5580,C,4200
BTP,8140,11550,12450,12950,B,12450
CMS,2430,7570,9600,10750,C,7570
BTT,20200,29100,31500,32750,A,32750
CPC,7620,13000,14500,15350,B,14500
BWE,21650,29400,31400,32450,C,29400
CSC,53300,79500,86700,91100,C,79500
C32,17000,22600,24400,25350,B,24400
CTB,9400,14950,16450,17200,C,14950
C47,6210,11700,13300,14150,C,11700
CTC,890,2490,3070,3390,C,2490
CAV,30650,40450,42900,44200,B,42900
CTP,1000,2660,3250,3570,B,3250
CCI,4280,9490,11200,12100,A,12100
CTT,5840,8460,9220,9600,C,8460
CCL,2900,6440,7590,8200,B,7590
CTX,3870,6330,7020,7420,C,6330
CDC,7370,10900,11700,12200,C,10900
CVN,4240,6640,7340,7740,A,7740
CEE,3010,6520,7650,8250,C,6520
CX8,2870,4520,4990,5240,C,4520
CHP,15250,18300,19000,19400,C,18300
D11,12750,19100,21350,22550,Not enough data,12750
CIG,4040,7060,8020,8610,D,4040
DAD,10400,16200,17750,18700,A,18700
CII,11500,21800,24900,26500,C,21800
DAE,7500,12100,13550,14300,A,14300
CKG,8090,15150,17500,18900,C,15150
DC2,4570,7720,8600,9160,C,7720
CLC,17950,24850,26650,27550,A,27550
DDG,21800,25500,26450,26850,C,25500
CLL,15900,21850,23450,24200,A,24200
DHP,7120,9540,10100,10500,A,10500
CLW,10050,16450,18150,19050,A,19050
DHT,30400,35500,36700,37300,B,36700
CMG,29900,40700,44000,45550,B,44000
DIH,6510,16200,19650,21750,C,16200
CMV,3220,6000,6880,7350,A,7350
DL1,1160,3530,4450,4960,B,4450
CMX,4200,7890,9120,9840,B,9120
DNC,12800,26600,30800,33050,A,33050
CNG,9050,15100,17000,18100,A,18100
DNM,14500,23500,26100,27500,C,23500
COM,7290,15150,17750,19250,A,19250
DNP,6380,10350,11500,12150,C,10350
CRC,1990,4340,5090,5500,D,1990
DP3,51700,72100,78400,81700,A,81700
CRE,10700,19350,22000,23400,A,23400
DPC,2520,6590,8130,9060,A,9060
CSM,8560,11950,12850,13350,C,11950
DS3,3700,5490,6100,6420,A,6420
CSV,11000,19400,21850,23300,A,23300
DST,1020,3060,3840,4270,B,3840
CTD,49500,68600,74000,76700,A,76700
DTD,16600,28000,31250,32950,A,32950
CTF,14100,16750,17400,17700,B,17400
DTK,5370,8950,9880,10400,Not enough data,5370
CTI,6520,12300,14000,14900,C,12300
DVG,5550,11050,12700,13750,B,12700
CVT,18350,27100,29550,30750,B,29550
DXP,7050,11300,12600,13300,A,13300
D2D,25400,37500,40400,42000,A,42000
DZM,1610,3340,4050,4440,D,1610
DAG,4320,7480,8450,9010,D,4320
EBS,6280,8090,8520,8770,B,8520
DAH,3110,5850,6700,7120,C,5850
ECI,5780,9870,11000,11550,A,11550
DAT,3950,8700,10250,11050,B,10250
EID,12450,16900,18000,18650,A,18650
DBC,28650,43950,47900,49950,B,47900
FID,2420,4080,4720,5080,A,5080
DBD,29650,37550,39600,40600,A,40600
GDW,1580,5210,6670,7500,A,7500
DBT,4070,7140,8140,8700,C,7140
GIC,9500,13450,14700,15300,A,15300
DC4,10700,15450,16750,17450,B,16750
GKM,20450,29700,32450,33800,B,32450
DCL,10450,18200,20500,21850,C,18200
GLT,10100,16500,18250,19300,A,19300
DCM,7800,15450,17800,19050,A,19050
GMA,34650,44400,46850,48150,B,46850
DGC,76400,106800,115700,120300,A,120300
GMX,6330,10750,11950,12600,B,11950
DGW,21200,46600,55000,59900,A,59900
HAD,7340,10400,11200,11600,A,11600
DHA,30200,39900,42350,43550,A,43550
HAT,8040,12350,13550,14150,B,13550
DHC,41600,58200,62200,64800,A,64800
HCC,6460,8530,9090,9370,B,9090
DHG,61500,80600,85400,87900,A,87900
HCT,2790,5450,6210,6610,A,6610
DHM,6540,8440,8920,9160,B,8920
HDA,15800,20800,22050,22800,B,22050
DIG,35550,58000,64600,68000,C,58000
HEV,1650,5750,7450,8410,B,7450
DLG,2920,4990,5650,6030,D,2920
HGM,12300,20050,22500,23750,A,23750
DMC,25350,34550,36950,38150,A,38150
HHC,18250,37200,42600,45700,D,18250
DPG,22350,38650,43250,46200,B,43250
HHG,830,2380,2950,3270,C,2380
DPM,12500,22500,25500,27250,A,27250
HJS,10700,17450,19150,20000,A,20000
DPR,36750,49000,52700,54500,A,54500
HKT,1860,3430,3840,4060,B,3840
DQC,14800,21350,23100,24100,C,21350
HLC,2180,4540,5540,6100,D,2180
DRC,8860,15900,17900,18950,A,18950
HLD,16800,23950,26250,27450,B,26250
DRH,8370,15350,17400,18450,C,15350
HMH,8180,11950,12900,13500,A,13500
DRL,39500,48150,50800,52100,A,52100
HOM,2940,4870,5470,5810,C,4870
DSN,30400,36850,38750,39700,A,39700
HPM,5590,7170,7560,7760,B,7560
DTA,4790,9180,10650,11500,C,9180
HTC,14000,20250,21900,22750,A,22750
DTL,30300,37600,39300,40250,C,37600
HTP,2890,9060,11500,12850,C,9060
DTT,10400,13200,13900,14300,B,13900
HUT,2540,6420,7770,8510,C,6420
DVP,31400,41850,44350,45850,A,45850
HVT,23550,34200,37700,39300,B,37700
DXG,6880,14050,16300,17500,A,17500
ICG,5370,8810,9820,10400,C,8810
IDC,11700,25650,30450,33100,C,25650
DXS,9080,16300,18500,19750,A,19750
IDJ,7830,16650,19750,21650,C,16650
DXV,1340,2990,3530,3820,B,3530
IDV,29450,43250,46800,48900,Not enough data,29450
E1VFVN30,15900,19900,20850,21450,Not enough data,15900
INC,2620,5170,5890,6300,B,5890
ELC,6140,11550,13150,14000,B,13150
INN,19200,26650,28450,29350,B,28450
EMC,5630,9280,10250,10750,C,9280
ITQ,790,2410,3030,3380,B,3030
EVE,4640,8210,9290,9870,B,9290
KDM,1140,2970,3620,3980,A,3980
EVG,3950,8600,10100,10900,A,10900
KHS,3010,7430,9280,10350,B,9280
FCM,2940,5600,6400,6820,B,6400
FCN,5960,12000,13850,14850,C,12000
KKC,3040,7950,9800,10800,A,10800
FDC,3440,6300,7390,8000,B,7390
KLF,620,1940,2460,2750,B,2460
FIR,25150,30200,31800,32700,A,32700
KMT,3430,5870,6510,6870,B,6510
FIT,3680,7290,8360,8910,A,8910
KSD,880,2260,2750,3020,B,2750
FLC,5960,10350,11450,12200,B,11450
KSF,21800,39200,44250,47450,Not enough data,21800
FMC,22650,33450,36200,37650,B,36200
KSQ,2160,3840,4490,4920,A,4920
FPT,50500,66700,70600,73000,A,73000
KST,9710,15100,16550,17300,A,17300
FRT,21000,40700,46650,49800,B,46650
KTS,2610,6750,8210,9020,C,6750
FTM,2270,4170,4750,5080,D,2270
KTT,1510,4240,5370,6080,C,4240
FUCTVGF2,5780,9250,10150,10650,Not enough data,5780
KVC,1540,3350,3960,4310,C,3350
FUCVREIT,3050,5350,6060,6490,Not enough data,3050
L14,43150,97200,116400,126600,A,126600
FUEMAV30,10800,13700,14400,14850,Not enough data,10800
FUESSV30,8510,12450,13400,13950,Not enough data,8510
L18,5760,16600,20600,22950,C,16600
FUESSV50,14750,18150,18950,19450,Not enough data,14750
L35,1800,3420,3880,4130,D,1800
L40,8490,15600,17700,19000,C,15600
FUESSVFL,11600,15800,16850,17350,Not enough data,11600
FUEVFVND,18400,22500,23500,24050,Not enough data,18400
L43,620,1820,2260,2510,C,1820
FUEVN100,12050,15450,16300,16750,Not enough data,12050
L61,530,1830,2360,2670,C,1830
GAB,178100,185600,187300,188200,B,187300
L62,2270,3880,4300,4520,C,3880
GAS,48400,64500,69800,72500,A,72500
LAS,3280,7410,8770,9490,B,8770
GDT,32500,43900,46650,48350,A,48350
LBE,5370,10050,11500,12250,C,10050
LCD,8110,11750,12850,13300,C,11750
GEG,10950,15400,16750,17450,C,15400
LCS,400,1200,1490,1660,D,400
GEX,15300,24450,26950,28500,C,24450
LDP,3960,10350,12800,14150,C,10350
GIL,24300,37850,41400,43600,A,43600
LHC,35500,60000,66900,70600,A,70600
GMC,5060,10450,12150,13050,B,12150
LIG,2420,6040,7310,8000,C,6040
GMD,13700,23600,26450,27900,B,26450
LM7,1070,2620,3140,3430,D,1070
GSP,6300,9400,10250,10700,B,10250
LUT,1520,3040,3640,3980,Not enough data,1520
GTA,3960,7330,8390,9000,B,8390
MAC,2950,5100,5730,6080,C,5100
GTN,5590,9670,10900,11550,A,11550
MAS,10650,21100,24200,25800,C,21100
GVR,7960,15750,18100,19350,A,19350
MBG,1420,4070,5050,5600,A,5600
HAG,2930,5430,6220,6680,B,6220
MCC,6820,8350,8710,8900,B,8710
HAH,14700,28700,33000,35250,A,35250
MCF,3670,5610,6290,6650,B,6290
HAI,1260,2880,3420,3710,B,3420
MCO,730,2140,2680,2970,C,2140
HAP,3000,6270,7280,7810,B,7280
MDC,1410,3530,4320,4760,C,3530
HAR,2420,5250,6160,6640,B,6160
MED,6750,13150,15100,16150,C,13150
HAS,2800,4880,5650,6070,B,5650
MEL,5340,8980,9990,10650,B,9990
HAX,9230,15350,17100,18100,A,18100
MHL,600,1830,2300,2570,D,600
HBC,6490,12600,14650,15900,C,12600
MIM,2230,4330,4960,5310,D,2230
HCD,2430,5210,6100,6580,B,6100
MKV,4330,6760,7420,7780,C,6760
HDC,39800,60500,66400,69600,B,66400
MST,8110,11900,13000,13500,C,11900
HDG,25800,39300,42800,44900,C,39300
MVB,8560,13950,15650,16550,Not enough data,8560
HHP,2790,5430,6260,6710,B,6260
NAG,6700,9510,10350,10700,C,9510
HHS,2420,4390,5140,5550,A,5550
NAP,1230,3310,4110,4560,A,4560
HID,2380,5090,5970,6430,C,5090
NBC,2440,5560,6650,7310,C,5560
HII,8110,12750,13950,14550,B,13950
NBP,6700,11000,12150,12850,A,12850
HMC,11850,16400,17850,18550,A,18550
NBW,4290,9260,10800,11600,A,11600
HNG,2760,5340,6120,6530,D,2760
NDN,6130,10050,11200,11800,A,11800
HOT,7020,12850,15050,16300,B,15050
NDX,3280,5740,6420,6770,B,6420
HPG,18050,27200,29800,31100,A,31100
NET,28650,36850,39500,40800,A,40800
HPX,11800,18750,20700,21750,C,18750
NFC,4390,7070,7950,8350,A,8350
HQC,2940,4930,5540,5890,C,4930
NHC,9910,16650,18600,19600,A,19600
HRC,9040,19100,22450,24300,C,19100
NRC,7690,13750,15500,16600,B,15500
HSG,9030,16450,18650,19900,A,19900
NSH,1340,3640,4480,4940,C,3640
HSL,2080,4110,4730,5060,B,4730
NST,3590,6050,6700,7060,B,6700
HT1,10500,14650,15950,16650,B,15950
NTH,15550,23100,25050,26100,A,26100
HTI,9500,12800,13750,14200,B,13750
NTP,29500,40700,43550,45250,B,43550
HTL,4140,8780,10250,11050,B,10250
NXT,50,680,1060,1360,Not enough data,50
HTN,7990,16900,19900,21550,B,19900
OCH,3240,5580,6280,6640,C,5580
HTV,6220,9160,9890,10250,A,10250
ONE,3200,5000,5480,5780,C,5000
HU1,1900,4530,5410,5900,B,5410
PBP,4040,7430,8410,9050,B,8410
HU3,2120,3820,4450,4800,C,3820
PCE,3280,7500,8990,9810,A,9810
HUB,15150,21500,23100,24100,A,24100
PCG,800,2520,3170,3550,B,3170
HVH,2800,5450,6260,6690,B,6260
PCT,1180,2820,3380,3680,A,3680
HVN,9740,14000,15200,15850,C,14000
PDB,3490,8040,9640,10500,B,9640
HVX,1610,3160,3660,3960,B,3660
PDC,640,1860,2310,2560,D,640
IBC,13700,15900,16500,16850,Not enough data,13700
PEN,2940,4730,5280,5580,C,4730
ICT,7270,11050,12100,12600,C,11050
PGN,4990,7840,8650,9070,B,8650
IDI,3670,6740,7690,8230,B,7690
PGS,9110,14350,15800,16550,C,14350
IJC,9820,16150,18100,19200,B,18100
PGT,1190,3180,3890,4290,A,4290
ILB,14100,19850,21650,22550,C,19850
PHN,9840,18850,21400,22850,A,22850
IMP,43600,55300,58600,60100,A,60100
PHP,9350,14750,16450,17250,A,17250
ITA,3520,6870,7920,8520,B,7920
PIA,12100,17250,18600,19300,A,19300
ITC,8910,14100,15500,16350,Not enough data,8910
PIC,3760,6220,6940,7320,A,7320
ITD,3790,7140,8260,8920,C,7140
PJC,6840,11750,13050,13800,B,13050
JVC,1800,3870,4540,4890,Not enough data,1800
PLC,14300,23850,26550,28000,B,26550
KBC,13350,25600,29500,31600,B,29500
PMB,5210,8900,9940,10600,A,10600
KDC,35750,43050,44850,45850,B,44850
PMC,31250,43150,46250,47850,A,47850
KDH,26600,37250,40000,41350,A,41350
PMP,5060,8610,9620,10200,C,8610
KHG,4750,9020,10300,11050,A,11050
PMS,2340,6220,7700,8530,A,8530
KHP,10300,14800,16100,16700,C,14800
POT,6480,9950,11000,11600,D,6480
KMR,1580,3540,4180,4520,B,4180
PPE,870,2430,3080,3490,A,3490
KOS,25450,28400,29150,29500,B,29150
PPP,5910,9590,10600,11200,A,11200
KPF,4560,8240,9350,9940,B,9350
PPS,6500,9010,9680,10050,B,9680
KSB,16350,26050,28750,30200,B,28750
PPY,5230,9600,10850,11500,A,11500
L10,4090,9500,11300,12300,C,9500
PRC,6280,9420,10250,10750,C,9420
LAF,2480,6920,8510,9380,B,8510
PSC,4920,7970,8850,9310,C,7970
LBM,18000,35100,40750,43600,A,43600
PSD,12400,19250,21200,22250,A,22250
LCG,4290,8990,10450,11250,C,8990
PSE,6060,9970,11300,12000,A,12000
LCM,3770,6200,7130,7530,C,6200
PSW,2460,6070,7370,8140,A,8140
LDG,3960,8560,10050,10800,B,10050
PTD,7080,9650,10400,10850,B,10400
PTS,4600,6900,7510,7860,C,6900
LEC,2000,4630,5510,5980,C,4630
PV2,860,2480,3080,3410,B,3080
LGC,8520,17400,20500,22350,C,17400
PVB,6080,10500,11700,12300,C,10500
LGL,2370,5140,6040,6510,C,5140
PVC,2470,5570,6640,7260,C,5570
LHG,23850,34400,37100,38750,A,38750
PVG,5240,8240,9040,9540,B,9040
LIX,30350,38000,39850,40800,B,39850
PVL,3730,7340,8590,9290,B,8590
LM8,3620,6950,7960,8480,C,6950
PVS,8400,14600,16300,17300,B,16300
LSS,2490,5570,6580,7120,B,6580
MCG,3520,6020,6770,7220,C,6020
QHD,2320,8120,10500,11900,A,11900
QST,7160,9780,10450,10800,C,9780
MCP,10500,16600,18100,18900,B,18100
QTC,9000,11950,12750,13200,C,11950
MDG,2310,5070,5960,6430,C,5070
RCL,8660,12400,13400,13900,B,13400
MHC,2680,5750,6730,7250,A,7250
S55,6330,15150,18250,20150,C,15150
MSH,39700,54400,58200,60200,A,60200
S99,2870,7160,8650,9460,C,7160
MSN,50200,85700,95700,100800,B,95700
SAF,23050,35400,39000,40850,A,40850
MWG,43550,71800,79900,84300,A,84300
SCI,8920,16150,18300,19550,B,18300
NAF,11100,15300,16450,17050,B,16450
SD2,1510,3570,4360,4830,C,3570
NAV,4240,9070,10600,11450,A,11450
SD4,1100,2710,3270,3570,D,1100
NBB,8500,16600,19700,21450,B,19700
SD5,5130,7360,8090,8480,C,7360
NCT,61100,70200,72300,73500,A,73500
SD6,1090,2720,3290,3600,C,2720
NHA,24000,41500,46650,49650,C,41500
SD9,4450,7370,8270,8730,C,7370
NHH,9720,17650,20100,21400,C,17650
SDA,3250,8150,9970,11000,B,9970
NKG,14100,22250,24600,25900,A,25900
SDC,2480,4540,5080,5390,C,4540
NLG,12400,25850,30000,32350,B,30000
SDG,2690,7210,8940,9910,Not enough data,2690
NNC,12600,17600,18900,19550,A,19550
SDN,12100,22300,25200,26800,B,25200
NSC,43600,56700,60000,61700,B,60000
SDT,1200,2890,3460,3780,C,2890
NT2,13750,18450,19650,20300,A,20300
SDU,5030,8090,9130,9740,C,8090
NTL,9580,18100,20600,21950,A,21950
SEB,15550,27700,31100,32950,A,32950
NVL,32250,50400,55400,58200,B,55400
SED,12650,16400,17300,17800,C,16400
NVT,2400,4920,5730,6210,D,2400
SFN,9420,14050,15750,16600,A,16600
OGC,2340,4660,5370,5740,B,5370
SGC,12050,21550,24400,25900,B,24400
OPC,23500,35200,38050,39550,C,35200
SGD,3410,5650,6260,6580,C,5650
PAC,18650,25650,27400,28400,B,27400
SGH,15450,26700,30050,31800,A,31800
PAN,8470,16250,18750,20100,B,18750
SHE,5410,7810,8540,8940,C,7810
PC1,16150,24700,26950,28200,C,24700
SHN,5560,8990,9920,10500,C,8990
PDN,36150,56900,62300,65100,A,65100
SIC,2280,5220,6510,7250,C,5220
PDR,31150,50700,56100,58900,B,56100
SJ1,4050,7260,8240,8760,D,4050
PET,7250,14700,17000,18200,A,18200
SJE,13550,19350,20800,21700,C,19350
PGC,9400,14100,15400,16100,C,14100
SLS,69300,100600,109300,113900,B,109300
PGD,11900,18900,20750,21650,A,21650
SMN,5720,8160,8890,9280,B,8890
PHC,6160,9810,10800,11400,C,9810
SMT,1680,3910,4900,5470,C,3910
PHR,24000,37800,41950,44300,A,44300
SPI,1590,3710,4470,4880,A,4880
PIT,2010,3820,4390,4730,C,3820
SRA,4520,7040,7730,8100,A,8100
PJT,5150,7470,8100,8420,C,7470
SSM,1160,2600,3100,3400,B,3100
PLP,3690,7060,8190,8860,D,3690
STC,7020,11150,12400,13100,A,13100
PLX,26850,37400,39900,41200,A,41200
STP,4100,5900,6560,6890,B,6560
PME,34800,51000,55100,57000,A,57000
SVN,760,2200,2740,3040,B,2740
PMG,4230,7640,8700,9250,C,7640
SZB,19700,25050,26400,27050,A,27050
PNC,3250,5850,6650,7070,C,5850
TA9,5880,8420,9080,9440,C,8420
PNJ,49950,66000,70400,72800,A,72800
TAR,15950,25250,27750,29150,B,27750
POM,3740,6700,7610,8090,C,6700
TC6,1560,3660,4450,4930,C,3660
POW,4750,8530,9690,10300,B,9690
TDN,4030,7190,8080,8650,C,7190
PPC,11600,16300,17450,18050,A,18050
TDT,2360,4760,5730,6280,D,2360
