Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Groupp,Breakeven Price
BAB,8873.0,13729.25,15228.47,15954.45,C,13750
BID,21477.0,29206.78,31212.67,32248.45,A,32250
NVB,11761.0,18019.45,19874.41,20752.9,C,18000
CTG,12279.0,18730.88,20531.0,21452.0,B,20550
SHB,10996.0,18121.6,20050.8,21109.5,C,18100
EIB,11060.0,15815.85,17203.0,17876.85,C,15800
AAV,10769.0,15848.06,17611.59,18568.65,B,17600
HDB,9467.0,14774.0,16272.0,17052.0,C,14750
ACM,487.0,1228.0,1482.0,1622.3,D,490
LPB,9212.0,14224.0,15543.0,16199.0,C,14200
MBB,10306.0,16256.0,17828.09,18780.0,A,18800
ADC,1317.0,4103.0,5546.1,6429.0,B,5550
MSB,9853.0,14823.15,16101.07,16893.0,A,16900
ALT,3168.0,6744.82,7840.46,8412.0,B,7840
OCB,11535.0,17358.24,18871.0,19812.4,A,19800
AMC,6264.0,12096.2,13831.0,14777.75,B,13850
SSB,17646.0,25046.62,27110.76,28231.2,C,25050
AME,3355.0,5381.14,6068.0,6441.95,C,5380
STB,6983.0,12564.0,14286.0,15196.85,C,12550
AMV,3980.0,6269.5,6919.0,7254.0,A,7250
TCB,27872.0,37556.06,40031.81,41469.6,A,41450
API,13652.0,31578.9,37644.05,41279.75,C,31600
TPB,19813.0,28272.05,30460.6,31780.25,A,31800
APP,901.0,2828.92,3614.0,4060.0,B,3610
VCB,50686.0,68308.8,72504.0,74622.6,A,74600
ARM,17642.0,26656.17,29408.57,31024.0,C,26650
VIB,12439.0,20228.0,22458.28,23649.2,C,20250
ASG,15972.0,21121.0,22453.18,23122.0,B,22450
VPB,9365.0,17361.3,19779.9,21186.5,A,21200
ATS,20784.0,25773.0,26915.09,27605.15,B,26900
AAA,6975.0,10479.0,11411.16,11905.65,B,11400
BAX,33291.0,46198.28,50194.96,52268.6,A,52300
AAM,2367.0,4541.16,5268.0,5727.0,B,5270
BBS,3551.0,6019.57,6793.0,7189.85,D,3550
AAT,7534.0,11688.12,12884.0,13517.3,A,13500
BCC,8872.0,14156.7,15782.56,16542.1,B,15800
ABS,6002.0,10902.95,12422.55,13227.0,B,12400
BCF,17462.0,25073.66,27001.7,28134.0,A,28150
ABT,15006.0,21828.34,23496.0,24373.35,B,23500
BDB,4886.0,8149.24,9061.44,9516.2,B,9060
ACC,8893.0,13998.0,15414.36,16181.0,C,14000
BED,20265.0,28862.94,31413.96,32654.75,A,32650
ACL,7769.0,11006.0,11845.36,12310.6,B,11850
BII,3367.0,6704.26,8033.44,8670.3,A,8670
ADG,22506.0,30429.32,32451.96,33478.0,B,32450
ADS,14099.0,20198.0,21991.95,22789.75,C,20200
BKC,1072.0,2385.73,2929.19,3233.0,D,1070
AGG,26563.0,33985.72,35804.92,36866.8,B,35800
BLF,1897.0,2710.85,2927.0,3038.0,D,1900
BNA,18515.0,27278.4,29941.1,31131.7,B,29950
AGM,5574.0,12994.51,15487.0,16889.05,B,15500
BPC,3570.0,6065.32,6796.48,7180.8,B,6800
AMD,699.0,1787.37,2160.0,2374.0,B,2160
BSC,8238.0,11138.9,11842.0,12269.0,Not enough data,8240
BST,3915.0,7586.98,8653.0,9198.0,B,8650
ANV,7811.0,15348.56,17789.0,19099.0,C,15350
BTS,1792.0,4038.14,4840.0,5328.85,B,4840
APC,11110.0,15040.25,16361.0,17032.25,B,16350
BTW,8587.0,15789.62,17825.62,18956.7,A,18950
APH,11669.0,19598.66,21868.0,23075.3,B,21850
BXH,7780.0,8662.12,8862.0,8964.0,B,8860
ASM,3954.0,7417.0,8570.04,9291.0,B,8570
C69,5978.0,9771.41,10920.89,11554.15,Not enough data,5980
ASP,6682.0,9171.72,9990.0,10397.9,C,9170
C92,1035.0,2297.7,2820.0,3113.0,C,2300
AST,29284.0,38359.35,40652.05,41800.35,C,38350
CAG,3352.0,7921.77,9291.31,10072.0,A,10050
CAN,10026.0,19980.68,23108.04,24848.4,B,23100
CAP,54146.0,64005.49,67342.46,68627.4,B,67300
BBC,22083.0,33146.0,37143.0,39202.0,B,37150
CDN,11279.0,16681.74,18523.44,19483.35,Not enough data,11300
BCE,4602.0,9156.84,10611.76,11382.0,B,10600
CEO,3415.0,6202.5,6992.5,7447.5,D,3420
CET,1616.0,3347.36,3887.0,4227.6,B,3890
BCG,6014.0,11309.0,12982.5,13874.0,B,13000
CIA,5894.0,9017.1,9835.1,10331.0,Not enough data,5890
BCM,25100.0,34918.7,37715.15,39082.75,B,37700
CJC,5367.0,8419.0,9271.0,9714.0,D,5370
BFC,8966.0,16241.94,18495.41,19685.0,B,18500
CKV,4903.0,7923.53,8703.0,9124.65,A,9120
BHN,27164.0,37597.52,40715.78,42354.8,A,42350
CLH,17971.0,22517.27,23728.78,24270.15,A,24250
BKG,4311.0,6212.09,6843.0,7177.0,B,6840
CLM,7735.0,14101.43,16029.29,17057.0,B,16050
BMC,4313.0,10038.45,12023.0,13105.0,A,13100
CMC,2576.0,4393.07,5086.21,5476.0,C,4390
BMP,36515.0,47030.92,49416.47,50684.0,A,50700
CMS,855.0,2455.58,3042.37,3386.0,C,2460
BRC,8187.0,11167.1,12083.9,12496.0,B,12100
CPC,10513.0,14981.16,16404.82,17207.85,B,16400
BTP,8218.0,11485.0,12334.05,12785.75,B,12350
CSC,68299.0,97699.82,104914.9,109490.3,C,97700
BTT,23835.0,32800.47,35045.43,36308.3,A,36300
CTB,11514.0,16259.14,17595.21,18308.0,C,16250
BWE,22856.0,30939.27,33083.0,34220.950000000004,C,30950
C32,17829.0,23555.4,25236.2,26054.5,B,25250
CTC,821.0,2124.0,2613.59,2888.0,C,2120
C47,7748.0,11101.92,12041.92,12543.0,C,11100
CTP,2162.0,3666.0,4163.3099999999995,4440.700000000001,B,4160
CAV,31002.0,40762.28,43211.46,44465.2,B,43200
CTT,5002.0,7425.68,8172.0,8572.0,C,7430
CCI,3340.0,8174.0,9812.95,10750.0,A,10750
CTX,2350.0,4065.64,4575.92,4847.0,C,4070
CVN,4038.0,5776.6,6352.0,6656.0,A,6660
CCL,2675.0,6060.12,7242.42,7872.0,B,7240
CX8,3178.0,4654.58,5055.37,5280.0,C,4650
CDC,4987.0,8180.46,9089.0,9575.0,C,8180
D11,14801.0,22371.88,24858.76,26195.4,Not enough data,14800
CEE,2753.0,5584.0,6488.0,7028.4,C,5580
DAD,8358.0,13498.94,14894.94,15739.8,A,15750
CHP,13662.0,16577.0,17282.51,17637.85,C,16600
DAE,7962.0,12645.880000000001,14153.23,14874.7,A,14850
CIG,3410.0,5944.25,6749.25,7208.25,D,3410
DC2,1214.0,3927.2999999999997,4971.15,5582.25,C,3930
CII,11387.0,15200.02,16431.12,17080.1,C,15200
DDG,21484.0,24716.76,25534.96,25948.6,C,24700
CKG,10824.0,16389.32,17831.96,18599.6,C,16400
DHP,6407.0,8595.0,9133.0,9457.0,A,9460
CLC,19477.0,26347.0,28258.0,29192.25,A,29200
DHT,31717.0,37171.0,38445.0,39090.0,B,38450
CLL,16900.0,22953.2,24593.8,25440.0,A,25450
DIH,4641.0,13737.06,17410.74,19513.8,C,13750
CLW,10402.0,16907.94,18633.94,19552.9,A,19550
DL1,1314.0,3110.8,3911.0,4377.0,B,3910
CMG,32380.0,43929.53,47026.51,48659.7,B,47050
DNC,11400.0,24097.0,28048.84,30147.0,A,30150
CMV,3842.0,7101.88,8105.76,8643.8,A,8640
DNM,9835.0,16825.52,18894.28,19963.8,C,16850
CMX,4370.0,8153.3,9311.9,9926.5,B,9310
DNP,7267.0,11550.32,12761.96,13403.6,C,11550
CNG,17268.0,23161.0,24896.0,25788.6,A,25800
COM,6660.0,14525.0,17179.22,18753.0,A,18750
DP3,54491.0,73862.75,79999.0,83242.75,A,83200
CRC,2328.0,4876.25,5666.0,6107.25,D,2330
DPC,2753.0,6238.47,7681.0,8492.900000000001,A,8490
CRE,6994.0,12999.0,14867.16,15855.6,A,15850
DS3,3295.0,4950.6,5502.0,5811.0,A,5810
CSM,8222.0,11712.02,12571.06,12994.0,C,11700
DST,1196.0,2397.0,2781.0,3002.0,B,2780
CSV,25269.0,35993.99,39314.64,41000.0,A,41000
DTD,18803.0,29437.49,32486.489999999998,33953.0,A,33950
CTD,35513.0,47747.42,51291.16,53164.4,A,53200
DTK,3709.0,6870.84,7822.0,8415.0,Not enough data,3710
