cw,term,issue_date,t0,T,k,P0,K
CCTD2001,8,16/04/2020,11/05/2020,14/12/2020,9.6226,"1,540","77,836"
CDPM1901,4,09/09/2019,27/09/2019,07/01/2020,1,"1,900","13,988"
CDPM2001,6,19/12/2019,13/01/2020,17/06/2020,1.8689,"1,000","13,612"
CDPM2002,11,16/01/2020,19/02/2020,14/12/2020,0.9193,"1,700","14,022"
CEIB2001,4,04/12/2020,24/12/2020,01/04/2021,10,"1,000","18,818"
CFPT1901,3,12/06/2019,28/06/2019,09/09/2020,1.9624,"1,900","44,154"
CFPT1902,3,26/06/2019,12/07/2019,26/09/2019,0.9812,"3,800","45,135"
CFPT1903,6,26/06/2019,12/07/2020,26/12/2019,0.9812,"6,000","45,135"
CFPT1904,3,19/08/2019,06/09/2019,15/11/2019,3,"1,700","52,000"
CFPT1905,6,07/10/2019,24/10/2019,20/04/2020,1,"9,900","55,000"
CFPT1906,6,08/10/2019,25/10/2019,06/04/2020,5,"1,700","57,000"
CFPT1907,3,10/10/2019,30/10/2019,07/01/2020,2,"4,200","53,000"
CFPT1908,6,17/12/2019,03/01/2020,15/06/2020,2.5616,"3,150","46,108"
CFPT2001,6,20/12/2019,22/01/2020,18/06/2020,4.27,"1,600","47,816"
CFPT2002,6,22/01/2020,14/02/2020,20/07/2020,1.71,"2,900","49,524"
CFPT2003,7,08/04/2020,23/04/2020,05/11/2020,0.84,"7,300","41,800"
CFPT2004,4,08/04/2020,23/04/2020,06/08/2020,0.85,"5,100","42,693"
CFPT2005,3,01/04/2020,27/04/2020,29/06/2020,0.85,"2,900","41,839"
CFPT2006,6,29/04/2020,16/06/2020,27/10/2020,4.18,"1,500","43,457"
CFPT2007,4,24/06/2020,14/07/2020,21/10/2020,4.9,"1,690","42,590"
CFPT2008,6,14/07/2020,10/08/2020,12/01/2021,4.9,"1,500","46,996"
CFPT2009,3.5,03/09/2020,23/09/2020,16/12/2020,3,"2,480","46,800"
CFPT2010,6,30/09/2020,22/10/2020,26/03/2021,1,"7,900","52,000"
CFPT2011,6,01/10/2020,27/10/2020,30/03/2021,5,"1,700","48,000"
CFPT2012,7,01/10/2020,27/10/2020,30/04/2021,5,"1,500","51,000"
CFPT2013,6,08/10/2020,28/10/2020,06/04/2021,2,"3,800","52,000"
CFPT2014,6,09/10/2020,29/10/2020,07/04/2021,2,"2,000","55,000"
CFPT2015,5,22/10/2020,16/11/2020,18/03/2021,5,"2,070","50,000"
CFPT2016,8,22/10/2020,16/11/2020,18/06/2021,4.3054,"2,580","43,054"
CFPT2017,4.5,10/12/2020,31/12/2020,22/04/2021,4,"2,340","54,800"
CFPT2101,5,05/02/2021,05/03/2021,01/07/2021,5.1665,"1,500","64,151"
CFPT2102,6,09/07/2021,03/08/2021,06/01/2022,4.9474,"4,000","89,053"
CFPT2103,6,07/07/2021,05/08/2021,05/01/2022,4.9474,"3,000","98,947"
CGMD1901,6,28/10/2019,14/11/2019,24/04/2020,2.83,"1,680","24,929"
