<Ticker>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
CCTD2001,20201214,0.08,0.13,0.04,0.04,180820
CCTD2001,20201211,0.18,0.18,0.08,0.14,139160
CCTD2001,20201210,0.3,0.3,0.04,0.18,29970
CCTD2001,20201209,0.3,0.34,0.3,0.3,49240
CCTD2001,20201208,0.14,0.3,0.02,0.3,56270
CCTD2001,20201207,0.15,0.26,0.07,0.15,11120
CCTD2001,20201204,0.3,0.3,0.11,0.26,5190
CCTD2001,20201203,0.1,0.29,0.1,0.26,10270
CCTD2001,20201202,0.33,0.33,0.23,0.28,74590
CCTD2001,20201201,0.35,0.35,0.23,0.33,1750
CCTD2001,20201130,0.32,0.36,0.32,0.35,35090
CCTD2001,20201126,0.39,0.39,0.32,0.32,20450
CCTD2001,20201123,0.37,0.44,0.35,0.4,16940
CCTD2001,20201120,0.34,0.38,0.34,0.37,18660
CCTD2001,20201119,0.3,0.35,0.3,0.35,32910
CCTD2001,20201118,0.45,0.45,0.3,0.41,43040
CCTD2001,20201117,0.48,0.48,0.41,0.45,44470
CCTD2001,20201116,0.3,0.5,0.3,0.48,44070
CCTD2001,20201113,0.4,0.54,0.4,0.42,23280
CCTD2001,20201112,0.52,0.65,0.5,0.52,35190
CCTD2001,20201111,0.79,0.79,0.5,0.52,25490
CCTD2001,20201110,0.78,0.78,0.6,0.76,29450
CCTD2001,20201109,0.8,0.8,0.5,0.78,6310
CCTD2001,20201106,0.98,0.98,0.4,0.8,5880
CCTD2001,20201105,0.5,0.8,0.5,0.8,9650
CCTD2001,20201104,0.9,0.9,0.73,0.73,8550
CCTD2001,20201103,0.46,0.85,0.46,0.8,1060
CCTD2001,20201102,0.75,0.85,0.73,0.85,2600
CCTD2001,20201030,0.9,0.9,0.82,0.85,3310
CCTD2001,20201029,0.9,0.98,0.82,0.84,2110
CCTD2001,20201028,1.03,1.03,0.82,0.9,1970
CCTD2001,20201027,0.67,1.02,0.67,0.8,7190
CCTD2001,20201026,1.09,1.09,1.03,1.03,6550
CCTD2001,20201023,1.1,1.1,1.02,1.08,12100
CCTD2001,20201022,1.02,1.02,0.98,0.98,4230
CCTD2001,20201021,1.06,1.08,1.05,1.05,42910
CCTD2001,20201020,1.1,1.1,1.05,1.06,14800
CCTD2001,20201019,0.96,0.96,0.92,0.96,9010
CCTD2001,20201016,0.9,0.96,0.85,0.96,60240
CCTD2001,20201015,0.9,0.96,0.9,0.96,4990
CCTD2001,20201014,1,1.05,0.9,1.05,5430
CCTD2001,20201013,1.1,1.1,1,1,13150
CCTD2001,20201012,1.08,1.22,1.08,1.21,26180
CCTD2001,20201009,0.96,1.1,0.89,1.08,4810
CCTD2001,20201008,0.93,1.2,0.93,1.15,12380
CCTD2001,20201007,0.93,1.1,0.93,0.93,43200
CCTD2001,20201006,0.95,0.99,0.94,0.94,36150
CCTD2001,20201005,1.01,1.11,1,1,39320
CCTD2001,20201002,1.23,1.23,1.23,1.23,30
CCTD2001,20201001,1.23,1.23,1.22,1.23,9270
CCTD2001,20200930,1.1,1.26,0.92,1.23,18040
CCTD2001,20200929,0.93,1.18,0.93,1.1,8890
CCTD2001,20200928,0.8,1.12,0.8,1.12,8890
CCTD2001,20200925,1.12,1.28,1,1.28,10640
CCTD2001,20200924,1.14,1.29,1.14,1.16,21910
CCTD2001,20200923,1.13,1.29,1.11,1.2,11830
CCTD2001,20200922,1.2,1.2,1.13,1.13,6040
CCTD2001,20200921,1.19,1.3,1.12,1.29,7880
CCTD2001,20200918,1.19,1.27,1.19,1.19,2340
CCTD2001,20200917,1.29,1.29,1.11,1.2,4360
CCTD2001,20200916,1.29,1.29,1.28,1.29,80
CCTD2001,20200915,1.25,1.3,1.13,1.3,820
CCTD2001,20200914,1.3,1.3,1.17,1.25,8870
CCTD2001,20200911,1.12,1.39,1.12,1.17,40
CCTD2001,20200910,1.54,1.54,1.12,1.37,35570
CCTD2001,20200909,1.37,1.41,1.11,1.37,40470
CCTD2001,20200908,1.5,1.5,1.19,1.35,17090
CCTD2001,20200907,1.35,1.55,1.28,1.4,117000
CCTD2001,20200904,1.22,1.5,1.22,1.5,39430
CCTD2001,20200903,1.45,1.45,1.26,1.4,90180
CCTD2001,20200901,1.36,1.4,1.21,1.4,200720
CCTD2001,20200831,1.48,1.48,1.34,1.37,161600
CCTD2001,20200828,1.45,1.57,1.45,1.48,101810
CCTD2001,20200827,1.48,1.51,1.4,1.4,72780
CCTD2001,20200826,1.58,1.58,1.48,1.48,57110
CCTD2001,20200825,1.45,1.61,1.44,1.58,145740
CCTD2001,20200824,1.6,1.6,1.42,1.5,83160
CCTD2001,20200821,1.39,1.45,1.39,1.43,151970
CCTD2001,20200820,1.52,1.56,1.4,1.45,109940
CCTD2001,20200819,1.56,1.56,1.47,1.53,52540
CCTD2001,20200818,1.6,1.6,1.52,1.56,117950
CCTD2001,20200817,1.62,1.68,1.49,1.62,176210
CCTD2001,20200814,1.55,1.65,1.53,1.55,180290
CCTD2001,20200813,1.58,1.58,1.48,1.55,120850
CCTD2001,20200812,1.57,1.58,1.42,1.48,185750
CCTD2001,20200811,1.57,1.68,1.46,1.65,56940
