ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1
ABB,42.0,36.0,33.0,31.0,36.0,61.0,34.0,36.0,33.0,34.0,36.0,41.0,33.0
ACB,62.0,81.0,78.0,74.0,79.0,78.0,49.0,72.0,44.0,63.0,75.0,78.0,47.0
BAB,48.0,45.0,41.0,41.0,45.0,59.0,39.0,43.0,38.0,44.0,39.0,34.0,39.0
BID,91.0,55.0,75.0,49.0,94.0,77.0,73.0,59.0,75.0,62.0,75.0,54.0,78.0
BVB,83.0,81.0,85.0,55.0,49.0,82.0,52.0,82.0,29.0,33.0,28.0,30.0,21.0
CTG,67.0,49.0,78.0,43.0,93.0,78.0,66.0,73.0,56.0,68.0,73.0,62.0,79.0
EIB,33.0,39.0,32.0,19.0,27.0,50.0,28.0,34.0,28.0,27.0,35.0,36.0,31.0
HDB,46.0,45.0,39.0,44.0,45.0,62.0,43.0,73.0,41.0,64.0,47.0,44.0,40.0
KLB,38.0,39.0,37.0,40.0,35.0,43.0,32.0,31.0,28.0,27.0,25.0,25.0,90.0
LPB,35.0,30.0,33.0,28.0,35.0,37.0,29.0,29.0,31.0,28.0,34.0,33.0,32.0
MBB,79.0,83.0,90.0,79.0,100.0,96.0,83.0,90.0,92.0,83.0,83.0,81.0,88.0
MSB,85.0,77.0,86.0,98.0,88.0,94.0,89.0,86.0,48.0,80.0,84.0,79.0,79.0
NAB,80.0,33.0,50.0,30.0,36.0,32.0,15.0,22.0,16.0,32.0,23.0,44.0,22.0
NVB,76.0,8.0,79.0,66.0,9.0,15.0,22.0,36.0,24.0,31.0,38.0,56.0,30.0
OCB,69.0,95.0,68.0,47.0,45.0,69.0,49.0,93.0,86.0,82.0,66.0,88.0,53.0
PGB,35.0,38.0,39.0,78.0,40.0,65.0,32.0,63.0,32.0,36.0,40.0,37.0,29.0
SGB,46.0,39.0,42.0,47.0,75.0,54.0,49.0,61.0,37.0,47.0,42.0,45.0,38.0
SHB,32.0,30.0,31.0,35.0,30.0,50.0,33.0,47.0,28.0,46.0,44.0,55.0,35.0
SSB,30.0,31.0,32.0,26.0,28.0,43.0,35.0,69.0,26.0,32.0,37.0,39.0,35.0
STB,14.0,35.0,26.0,30.0,30.0,38.0,28.0,35.0,30.0,33.0,35.0,30.0,28.0
TCB,100.0,100.0,100.0,100.0,100.0,100.0,92.0,100.0,100.0,96.0,100.0,100.0,100.0
TPB,42.0,45.0,44.0,43.0,49.0,73.0,47.0,83.0,44.0,72.0,70.0,67.0,46.0
VAB,,,,,,,,,,,,,82.0
VBB,28.0,25.0,10.0,25.0,28.0,52.0,27.0,26.0,27.0,29.0,20.0,10.0,21.0
VCB,80.0,79.0,81.0,100.0,100.0,96.0,84.0,100.0,82.0,86.0,79.0,99.0,90.0
VIB,37.0,41.0,44.0,45.0,46.0,71.0,45.0,55.0,38.0,51.0,69.0,52.0,40.0
VPB,100.0,100.0,97.0,100.0,100.0,100.0,98.0,100.0,94.0,94.0,96.0,99.0,100.0
BM_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
