ticker,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2
ABC,67.0,54.0,53.0,68.0,56.0,74.0,81.0,97.0,100.0,69.0,44.0,85.0,61.0
ADG,,,,,,,53.0,,,,88.0,80.0,57.0
BDB,61.0,45.0,61.0,54.0,50.0,42.0,50.0,59.0,48.0,47.0,48.0,64.0,65.0
BST,51.0,55.0,54.0,54.0,48.0,62.0,58.0,58.0,46.0,65.0,75.0,82.0,59.0
CAB,,29.0,30.0,33.0,30.0,31.0,26.0,46.0,41.0,25.0,28.0,,39.0
CMT,43.0,40.0,63.0,,,,,,,,,,
DAD,72.0,62.0,48.0,49.0,73.0,58.0,,48.0,76.0,71.0,46.0,68.0,78.0
EBS,49.0,54.0,53.0,42.0,51.0,55.0,63.0,74.0,67.0,49.0,90.0,71.0,66.0
ECI,65.0,62.0,73.0,58.0,73.0,62.0,81.0,77.0,91.0,63.0,87.0,82.0,81.0
EPH,,,,,,,,,,,,45.0,
FOC,87.0,83.0,93.0,77.0,86.0,84.0,98.0,100.0,100.0,93.0,100.0,100.0,100.0
FOX,45.0,51.0,43.0,58.0,45.0,49.0,54.0,78.0,71.0,46.0,42.0,81.0,54.0
HEV,56.0,56.0,64.0,54.0,61.0,56.0,67.0,80.0,78.0,72.0,78.0,85.0,73.0
LBE,67.0,66.0,73.0,56.0,62.0,61.0,76.0,84.0,57.0,76.0,99.0,72.0,43.0
ONE,35.0,42.0,48.0,52.0,44.0,40.0,59.0,62.0,46.0,33.0,41.0,49.0,37.0
QST,30.0,35.0,47.0,36.0,29.0,32.0,50.0,36.0,45.0,26.0,38.0,,30.0
SED,55.0,51.0,40.0,52.0,50.0,41.0,33.0,47.0,42.0,57.0,32.0,52.0,35.0
SMN,56.0,64.0,45.0,37.0,65.0,65.0,47.0,36.0,72.0,65.0,42.0,39.0,67.0
SRA,86.0,96.0,88.0,82.0,71.0,73.0,92.0,93.0,49.0,60.0,46.0,79.0,86.0
VGI,32.0,35.0,36.0,46.0,44.0,38.0,43.0,73.0,45.0,45.0,32.0,49.0,49.0
VNB,74.0,72.0,78.0,73.0,75.0,76.0,86.0,90.0,98.0,81.0,87.0,95.0,81.0
YEG,49.0,65.0,68.0,55.0,45.0,39.0,47.0,79.0,65.0,53.0,30.0,51.0,35.0
AAT,,63.0,55.0,45.0,50.0,39.0,60.0,76.0,47.0,59.0,,64.0,79.0
ACG,,,,,,,,,,,,,91.0
ADC,64.0,76.0,83.0,75.0,60.0,77.0,81.0,74.0,58.0,76.0,85.0,75.0,69.0
ADS,46.0,35.0,38.0,31.0,30.0,27.0,41.0,23.0,26.0,29.0,29.0,38.0,44.0
AFX,62.0,58.0,53.0,38.0,64.0,45.0,54.0,56.0,100.0,71.0,70.0,,
AGM,63.0,68.0,80.0,47.0,66.0,61.0,70.0,54.0,69.0,63.0,69.0,43.0,58.0
BDG,77.0,57.0,79.0,89.0,70.0,74.0,82.0,97.0,81.0,86.0,60.0,76.0,75.0
BED,76.0,89.0,100.0,79.0,72.0,87.0,85.0,86.0,67.0,94.0,85.0,52.0,77.0
BTT,82.0,82.0,93.0,87.0,85.0,87.0,84.0,80.0,77.0,61.0,73.0,65.0,94.0
BTV,60.0,60.0,58.0,43.0,55.0,49.0,64.0,51.0,40.0,40.0,43.0,35.0,46.0
CCA,,,,,40.0,25.0,36.0,34.0,29.0,27.0,35.0,35.0,46.0
CCL,60.0,55.0,53.0,49.0,54.0,52.0,46.0,56.0,41.0,49.0,52.0,43.0,54.0
CDG,,72.0,,61.0,51.0,53.0,,70.0,87.0,79.0,,,98.0
CMC,21.0,24.0,49.0,36.0,36.0,29.0,56.0,48.0,24.0,61.0,45.0,43.0,45.0
CMV,74.0,70.0,74.0,69.0,66.0,66.0,73.0,79.0,71.0,72.0,69.0,77.0,96.0
CTC,21.0,18.0,30.0,22.0,17.0,21.0,25.0,14.0,18.0,2.0,29.0,23.0,48.0
CTF,60.0,63.0,76.0,73.0,62.0,53.0,64.0,64.0,61.0,65.0,61.0,37.0,50.0
CYC,22.0,,,,,,,,,,,,
DAH,30.0,26.0,35.0,35.0,51.0,16.0,48.0,50.0,46.0,13.0,38.0,33.0,44.0
DGW,75.0,70.0,62.0,65.0,64.0,83.0,78.0,87.0,87.0,89.0,87.0,96.0,100.0
DHP,64.0,61.0,78.0,68.0,63.0,62.0,58.0,79.0,82.0,80.0,60.0,77.0,100.0
DIC,34.0,34.0,38.0,35.0,44.0,34.0,30.0,2.0,32.0,,,,
DLD,52.0,39.0,,23.0,24.0,19.0,27.0,,,,,,
DLR,3.0,0.0,7.0,0.0,0.0,0.0,33.0,24.0,28.0,35.0,26.0,28.0,20.0
DM7,64.0,59.0,58.0,98.0,65.0,56.0,83.0,92.0,75.0,65.0,65.0,100.0,82.0
DSN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.0,100.0,100.0,86.0,100.0
DSP,92.0,92.0,76.0,95.0,82.0,87.0,82.0,88.0,53.0,69.0,57.0,48.0,67.0
E29,,,,34.0,30.0,28.0,46.0,17.0,12.0,19.0,,,
EIN,53.0,30.0,45.0,27.0,49.0,40.0,46.0,22.0,43.0,41.0,,,
EVE,60.0,62.0,70.0,49.0,57.0,68.0,79.0,61.0,62.0,69.0,76.0,62.0,74.0
EVG,70.0,64.0,64.0,56.0,59.0,58.0,66.0,65.0,67.0,66.0,62.0,69.0,81.0
FID,68.0,60.0,55.0,43.0,50.0,46.0,72.0,76.0,53.0,69.0,68.0,79.0,77.0
FTM,35.0,30.0,32.0,23.0,14.0,28.0,25.0,0.0,0.0,1.0,0.0,4.0,0.0
G20,17.0,6.0,20.0,,,,,,,,,,
GDT,100.0,100.0,93.0,90.0,89.0,98.0,92.0,99.0,97.0,95.0,88.0,93.0,100.0
GIL,60.0,47.0,62.0,48.0,62.0,55.0,68.0,73.0,80.0,70.0,69.0,64.0,89.0
GMC,57.0,68.0,59.0,68.0,56.0,63.0,65.0,71.0,52.0,60.0,65.0,46.0,73.0
GTA,45.0,35.0,41.0,40.0,51.0,41.0,44.0,51.0,42.0,58.0,52.0,39.0,50.0
GTT,29.0,32.0,31.0,31.0,35.0,29.0,29.0,,,,,,
HAX,62.0,56.0,63.0,54.0,57.0,52.0,65.0,66.0,74.0,88.0,83.0,95.0,82.0
HCB,,,,,,29.0,,,,,,,
HGT,,,,80.0,62.0,58.0,66.0,54.0,48.0,54.0,48.0,43.0,47.0
HHS,89.0,100.0,87.0,99.0,85.0,92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HID,70.0,67.0,68.0,51.0,54.0,41.0,51.0,36.0,43.0,25.0,,79.0,32.0
HLT,,,,,,17.0,26.0,,,,,,
HOT,92.0,100.0,88.0,92.0,82.0,91.0,85.0,69.0,51.0,57.0,60.0,41.0,50.0
HSM,28.0,22.0,25.0,20.0,20.0,21.0,27.0,23.0,19.0,22.0,17.0,27.0,9.0
HTG,40.0,54.0,49.0,47.0,50.0,57.0,59.0,64.0,30.0,56.0,45.0,,49.0
HTL,52.0,51.0,61.0,77.0,58.0,55.0,56.0,67.0,74.0,74.0,74.0,67.0,69.0
HTM,,59.0,53.0,44.0,54.0,46.0,72.0,58.0,51.0,56.0,54.0,44.0,56.0
HU4,24.0,23.0,31.0,26.0,22.0,10.0,45.0,19.0,15.0,36.0,20.0,29.0,32.0
HUG,86.0,92.0,92.0,84.0,74.0,88.0,84.0,73.0,60.0,84.0,79.0,70.0,62.0
IBC,62.0,74.0,64.0,47.0,50.0,47.0,49.0,11.0,36.0,52.0,60.0,39.0,
KDH,81.0,87.0,99.0,79.0,74.0,80.0,91.0,85.0,82.0,88.0,83.0,87.0,97.0
KGM,62.0,62.0,38.0,42.0,61.0,57.0,61.0,62.0,80.0,59.0,71.0,45.0,92.0
KMR,53.0,47.0,36.0,38.0,46.0,40.0,36.0,48.0,38.0,47.0,45.0,38.0,52.0
KSD,68.0,73.0,85.0,84.0,72.0,78.0,72.0,66.0,65.0,63.0,60.0,,71.0
M10,40.0,46.0,42.0,40.0,39.0,46.0,47.0,46.0,52.0,57.0,49.0,40.0,32.0
MEG,60.0,50.0,67.0,54.0,42.0,42.0,57.0,54.0,52.0,55.0,56.0,46.0,56.0
MHL,24.0,29.0,38.0,18.0,29.0,31.0,29.0,16.0,44.0,33.0,21.0,,17.0
MNB,31.0,37.0,50.0,27.0,24.0,36.0,33.0,32.0,,50.0,,23.0,0.0
MSH,63.0,74.0,65.0,65.0,74.0,90.0,77.0,71.0,65.0,73.0,65.0,80.0,85.0
MWG,88.0,85.0,82.0,92.0,80.0,82.0,77.0,100.0,90.0,83.0,75.0,89.0,94.0
NAV,63.0,66.0,74.0,55.0,66.0,67.0,75.0,74.0,79.0,87.0,75.0,86.0,91.0
NDT,14.0,21.0,22.0,22.0,13.0,22.0,18.0,10.0,25.0,9.0,21.0,,
NHA,94.0,85.0,89.0,87.0,83.0,100.0,100.0,97.0,97.0,80.0,75.0,44.0,47.0
NHT,100.0,,,,,,,50.0,47.0,58.0,37.0,28.0,
NTL,56.0,58.0,74.0,76.0,87.0,71.0,92.0,76.0,78.0,85.0,100.0,74.0,100.0
NTT,33.0,8.0,12.0,19.0,16.0,10.0,13.0,3.0,12.0,0.0,13.0,15.0,
OCH,38.0,65.0,35.0,28.0,22.0,67.0,33.0,85.0,61.0,59.0,67.0,38.0,30.0
PAC,57.0,56.0,48.0,47.0,55.0,48.0,61.0,58.0,55.0,59.0,57.0,48.0,54.0
PDC,40.0,56.0,30.0,48.0,45.0,40.0,56.0,23.0,30.0,50.0,61.0,31.0,18.0
PEG,59.0,,,46.0,60.0,53.0,54.0,54.0,46.0,31.0,45.0,41.0,67.0
PET,62.0,59.0,56.0,53.0,54.0,56.0,58.0,61.0,54.0,73.0,65.0,75.0,75.0
PGT,61.0,66.0,100.0,76.0,50.0,40.0,35.0,100.0,53.0,47.0,51.0,,93.0
PNJ,82.0,78.0,82.0,99.0,71.0,74.0,85.0,100.0,70.0,80.0,88.0,100.0,96.0
PPH,46.0,37.0,37.0,37.0,45.0,37.0,37.0,58.0,58.0,57.0,38.0,69.0,80.0
PTB,68.0,65.0,71.0,58.0,63.0,64.0,70.0,64.0,69.0,69.0,62.0,66.0,72.0
PTV,61.0,55.0,43.0,44.0,42.0,54.0,70.0,64.0,51.0,55.0,58.0,,66.0
PVR,33.0,27.0,32.0,23.0,45.0,20.0,50.0,15.0,24.0,23.0,19.0,26.0,59.0
PXL,70.0,56.0,68.0,68.0,51.0,58.0,67.0,72.0,75.0,69.0,66.0,76.0,87.0
QBS,46.0,38.0,45.0,36.0,37.0,24.0,42.0,45.0,34.0,21.0,31.0,38.0,53.0
