ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1
AAS,55.0,,,,20.0,82.0,32.0,2.0,56.0,56.0,71.0,36.0,64.0
AGR,59.0,63.0,62.0,48.0,44.0,41.0,42.0,53.0,47.0,34.0,55.0,29.0,34.0
APG,37.0,72.0,72.0,57.0,52.0,32.0,40.0,81.0,39.0,10.0,51.0,48.0,28.0
APS,29.0,39.0,19.0,65.0,24.0,,,30.0,58.0,43.0,70.0,88.0,88.0
ART,21.0,78.0,55.0,52.0,50.0,56.0,61.0,87.0,60.0,70.0,58.0,43.0,29.0
BMS,52.0,49.0,44.0,28.0,72.0,71.0,0.0,65.0,20.0,29.0,8.0,78.0,68.0
BSI,54.0,98.0,50.0,32.0,59.0,44.0,74.0,52.0,48.0,65.0,66.0,32.0,55.0
BVS,42.0,44.0,42.0,35.0,50.0,45.0,46.0,52.0,30.0,39.0,34.0,34.0,53.0
CSI,36.0,48.0,57.0,91.0,59.0,34.0,90.0,67.0,68.0,82.0,68.0,56.0,59.0
CTS,62.0,75.0,83.0,58.0,70.0,47.0,58.0,72.0,24.0,79.0,65.0,68.0,71.0
DSC,90.0,100.0,57.0,48.0,55.0,46.0,45.0,53.0,63.0,50.0,58.0,53.0,56.0
EVS,60.0,11.0,54.0,26.0,21.0,12.0,37.0,4.0,33.0,26.0,24.0,49.0,59.0
FTS,52.0,77.0,56.0,100.0,71.0,76.0,38.0,4.0,,59.0,54.0,39.0,53.0
HAC,21.0,29.0,73.0,13.0,32.0,19.0,36.0,54.0,25.0,51.0,28.0,41.0,11.0
HBS,47.0,55.0,50.0,44.0,54.0,54.0,57.0,64.0,53.0,44.0,54.0,46.0,47.0
HCM,94.0,91.0,80.0,83.0,81.0,90.0,73.0,81.0,77.0,62.0,77.0,79.0,95.0
HFT,45.0,47.0,56.0,70.0,36.0,39.0,41.0,53.0,48.0,37.0,0.0,0.0,0.0
IVS,37.0,47.0,44.0,43.0,54.0,49.0,51.0,56.0,76.0,58.0,60.0,42.0,62.0
MBS,75.0,81.0,66.0,46.0,77.0,90.0,87.0,73.0,77.0,72.0,72.0,59.0,77.0
ORS,51.0,,59.0,62.0,51.0,75.0,91.0,86.0,91.0,43.0,64.0,28.0,46.0
PHS,63.0,72.0,68.0,63.0,65.0,64.0,63.0,72.0,46.0,34.0,47.0,31.0,43.0
PSI,11.0,30.0,11.0,26.0,42.0,25.0,34.0,15.0,37.0,14.0,16.0,23.0,10.0
SBS,35.0,36.0,24.0,26.0,33.0,30.0,33.0,18.0,39.0,17.0,41.0,30.0,29.0
SHS,77.0,84.0,77.0,75.0,74.0,65.0,81.0,68.0,87.0,75.0,74.0,79.0,70.0
SSI,87.0,100.0,100.0,95.0,86.0,93.0,100.0,100.0,100.0,93.0,94.0,93.0,96.0
TCI,61.0,40.0,72.0,20.0,42.0,59.0,49.0,63.0,38.0,72.0,68.0,26.0,70.0
TVB,41.0,52.0,52.0,40.0,41.0,38.0,36.0,13.0,42.0,33.0,45.0,23.0,57.0
TVS,75.0,79.0,100.0,93.0,85.0,75.0,76.0,91.0,69.0,84.0,93.0,91.0,98.0
VCI,86.0,97.0,81.0,79.0,80.0,82.0,79.0,82.0,84.0,71.0,63.0,68.0,71.0
VDS,50.0,39.0,35.0,31.0,51.0,34.0,33.0,15.0,17.0,60.0,52.0,49.0,42.0
VFS,22.0,47.0,23.0,66.0,31.0,54.0,40.0,56.0,40.0,14.0,36.0,38.0,13.0
VIG,26.0,30.0,35.0,31.0,16.0,26.0,28.0,54.0,43.0,41.0,22.0,26.0,57.0
VIX,53.0,53.0,85.0,31.0,61.0,28.0,55.0,39.0,27.0,50.0,79.0,58.0,85.0
VND,89.0,100.0,99.0,89.0,89.0,91.0,97.0,100.0,100.0,86.0,100.0,96.0,100.0
WSS,13.0,,0.0,79.0,0.0,4.0,3.0,70.0,0.0,37.0,57.0,61.0,19.0
BM_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
